TIME,X,Y,Z
20210720:08:43:13:092,0.0021293017,2.0943952E-4,2.0943952E-4
20210720:08:43:13:096,4.1887903E-4,-1.7453292E-5,-5.7595863E-4
20210720:08:43:13:101,0.0,2.443461E-4,3.4906585E-5
20210720:08:43:13:105,-5.235988E-5,8.726646E-5,1.7453292E-5
20210720:08:43:13:109,-5.061455E-4,-3.4906585E-5,7.15585E-4
20210720:08:43:13:112,-0.0017802358,-5.061455E-4,4.363323E-4
20210720:08:43:13:116,-9.250245E-4,-1.3962634E-4,1.5707963E-4
20210720:08:43:13:121,-6.457718E-4,-8.726646E-5,-6.981317E-5
20210720:08:43:13:125,-1.5707963E-4,-6.981317E-5,5.7595863E-4
20210720:08:43:13:128,3.4906584E-4,3.4906584E-4,9.948377E-4
20210720:08:43:13:132,-4.363323E-4,0.0,8.726646E-4
20210720:08:43:13:136,-1.2217305E-4,-5.061455E-4,4.1887903E-4
20210720:08:43:13:141,-0.0010995574,-5.9341197E-4,5.2359875E-4
20210720:08:43:13:144,4.5378561E-4,-1.5707963E-4,2.2689281E-4
20210720:08:43:13:148,-1.0471976E-4,-8.726646E-5,-6.981317E-4
20210720:08:43:13:152,-8.3775807E-4,-5.2359875E-4,4.712389E-4
20210720:08:43:13:156,0.0018849556,2.7925268E-4,-5.2359875E-4
20210720:08:43:13:160,-0.003926991,-0.002094395,8.0285146E-4
20210720:08:43:13:164,-6.981317E-5,-5.410521E-4,-1.7453292E-5
20210720:08:43:13:168,-6.981317E-5,2.7925268E-4,0.0
20210720:08:43:13:172,-6.981317E-5,-1.7453292E-5,-1.5707963E-4
20210720:08:43:13:176,0.0020769418,9.948377E-4,-1.9198621E-4
20210720:08:43:13:180,0.0055326936,0.0011170107,-0.0012042772
20210720:08:43:13:184,0.0018849556,5.5850536E-4,-6.283185E-4
20210720:08:43:13:188,-1.9198621E-4,1.3962634E-4,-6.981317E-5
20210720:08:43:13:192,0.0023038345,4.0142573E-4,-2.9670598E-4
20210720:08:43:13:196,5.7595863E-4,0.0,2.0943952E-4
20210720:08:43:13:200,3.4906585E-5,3.6651915E-4,-1.2217305E-4
20210720:08:43:13:204,-4.886922E-4,-3.1415926E-4,-7.5049157E-4
20210720:08:43:13:209,-5.7595863E-4,-2.443461E-4,-0.0013089969
20210720:08:43:13:212,5.9341197E-4,6.457718E-4,4.1887903E-4
20210720:08:43:13:216,1.5707963E-4,1.5707963E-4,1.7453292E-5
20210720:08:43:13:220,4.0142573E-4,-3.4906585E-5,4.5378561E-4
20210720:08:43:13:225,-4.363323E-4,-6.981317E-5,-0.0011519173
20210720:08:43:13:228,6.1086525E-4,-6.981317E-5,-0.0011868239
20210720:08:43:13:232,1.5707963E-4,2.2689281E-4,-3.6651915E-4
20210720:08:43:13:236,-4.712389E-4,-2.0943952E-4,-6.1086525E-4
20210720:08:43:13:242,-1.3962634E-4,-2.2689281E-4,1.5707963E-4
