TIME,X,Y,Z
20210720:04:31:44:686,0.08210196,0.20953096,9.749189
20210720:04:31:44:686,0.071634516,0.18625931,9.743233
20210720:04:31:44:688,0.07861601,0.18772456,9.750846
20210720:04:31:44:692,0.09440816,0.17843506,9.752274
20210720:04:31:44:696,0.09358456,0.19961895,9.748213
20210720:04:31:44:700,0.08445786,0.18855776,9.752724
20210720:04:31:44:704,0.07382761,0.17764977,9.745809
20210720:04:31:44:708,0.100671396,0.18984103,9.746191
20210720:04:31:44:712,0.092301264,0.20573854,9.750779
20210720:04:31:44:716,0.080090836,0.21025878,9.746777
20210720:04:31:44:720,0.08078994,0.19581696,9.741135
20210720:04:31:44:724,0.07691134,0.1953477,9.752025
20210720:04:31:44:728,0.0833278,0.19121052,9.7462015
20210720:04:31:44:732,0.08875784,0.18822256,9.75392
20210720:04:31:44:736,0.08780974,0.205298,9.7434435
20210720:04:31:44:741,0.07749552,0.19810583,9.737151
20210720:04:31:44:744,0.07703584,0.18677646,9.732181
20210720:04:31:44:748,0.06943185,0.1882896,9.741499
20210720:04:31:44:752,0.08652645,0.19379626,9.767194
20210720:04:31:44:756,0.09066363,0.1924555,9.76231
20210720:04:31:44:761,0.08639237,0.19454326,9.7734375
20210720:04:31:44:764,0.08903558,0.18908447,9.748031
20210720:04:31:44:768,0.088767424,0.1896112,9.744601
20210720:04:31:44:772,0.09140105,0.19768445,9.767701
20210720:04:31:44:777,0.08180509,0.19161275,9.75891
20210720:04:31:44:781,0.082609534,0.19344193,9.760346
20210720:04:31:44:784,0.07575254,0.19526152,9.753001
20210720:04:31:44:788,0.07562804,0.20056707,9.754601
20210720:04:31:44:792,0.084381245,0.20490536,9.753384
20210720:04:31:44:796,0.07683472,0.19016665,9.766141
20210720:04:31:44:801,0.07811801,0.21014388,9.755855
20210720:04:31:44:804,0.07635588,0.20663877,9.752915
20210720:04:31:44:808,0.0760973,0.19949447,9.738971
20210720:04:31:44:813,0.08112513,0.18900786,9.753431
