TIME,X,Y,Z
20210720:05:41:00:489,0.08507078,0.19685125,9.747073
20210720:05:41:00:489,0.08807789,0.17930655,9.7555
20210720:05:41:00:492,0.08999325,0.183166,9.743635
20210720:05:41:00:496,0.08012914,0.1781286,9.755404
20210720:05:41:00:501,0.08666052,0.18479407,9.753087
20210720:05:41:00:504,0.08771397,0.19809625,9.755932
20210720:05:41:00:510,0.07610688,0.19450495,9.7564
20210720:05:41:00:512,0.09017521,0.17289968,9.7556925
20210720:05:41:00:516,0.08234139,0.18710208,9.751172
20210720:05:41:00:520,0.08212112,0.1914691,9.75598
20210720:05:41:00:524,0.07439263,0.18774371,9.751296
20210720:05:41:00:528,0.072506,0.18473661,9.746249
20210720:05:41:00:532,0.08099106,0.1779658,9.746287
20210720:05:41:00:536,0.078510664,0.18283083,9.765087
20210720:05:41:00:540,0.07398084,0.19408357,9.767137
20210720:05:41:00:544,0.08034941,0.19284816,9.753959
20210720:05:41:00:549,0.07674853,0.18921855,9.750837
20210720:05:41:00:553,0.06552451,0.19314504,9.751459
20210720:05:41:00:556,0.07291781,0.17770723,9.743874
20210720:05:41:00:560,0.06855078,0.17964174,9.759753
20210720:05:41:00:564,0.07430644,0.19038692,9.755577
20210720:05:41:00:568,0.08874827,0.19957107,9.756113
20210720:05:41:00:572,0.07771579,0.17968962,9.757627
20210720:05:41:00:576,0.08646899,0.18716912,9.75209
20210720:05:41:00:580,0.07063853,0.20157263,9.76002
20210720:05:41:00:585,0.072266586,0.18383639,9.760509
20210720:05:41:00:588,0.08599015,0.17949809,9.758373
20210720:05:41:00:592,0.08403648,0.18348204,9.759857
20210720:05:41:00:596,0.084754735,0.19769402,9.7573
20210720:05:41:00:601,0.07419152,0.19531897,9.754274
20210720:05:41:00:604,0.09202354,0.19181386,9.762884
20210720:05:41:00:608,0.09441774,0.1883758,9.754571
20210720:05:41:00:612,0.09933064,0.19284816,9.766227
20210720:05:41:00:616,0.0879917,0.19823033,9.757942
20210720:05:41:00:621,0.07573339,0.19941784,9.754533
20210720:05:41:00:624,0.079362996,0.20039469,9.750885
20210720:05:41:00:628,0.08449617,0.21298818,9.752149
20210720:05:41:00:632,0.08672756,0.20212808,9.750779
20210720:05:41:00:637,0.093220636,0.18134642,9.755625
20210720:05:41:00:641,0.08976341,0.19213948,9.751737
20210720:05:41:00:644,0.08039729,0.1875426,9.7523775
20210720:05:41:00:648,0.07496725,0.19529024,9.75529
20210720:05:41:00:653,0.079267226,0.1965065,9.762338
20210720:05:41:00:656,0.0965821,0.17514063,9.76727
20210720:05:41:00:660,0.078194626,0.18763839,9.755041
20210720:05:41:00:664,0.08169974,0.195635,9.760653
20210720:05:41:00:669,0.060783993,0.19268535,9.759015
20210720:05:41:00:672,0.057451263,0.19617131,9.753528
20210720:05:41:00:676,0.06156929,0.21655075,9.756142
20210720:05:41:00:680,0.06241205,0.19871874,9.759484
20210720:05:41:00:685,0.061291564,0.19935082,9.758354
20210720:05:41:00:689,0.07175901,0.20507774,9.741423
20210720:05:41:00:692,0.07047572,0.17983328,9.737323
20210720:05:41:00:697,0.090433784,0.1791629,9.7547245
20210720:05:41:00:701,0.0834906,0.18153796,9.756008
20210720:05:41:00:704,0.06483498,0.1849856,9.766141
20210720:05:41:00:708,0.07685387,0.19869958,9.757397
20210720:05:41:00:712,0.0834906,0.206792,9.760432
20210720:05:41:00:716,0.083749175,0.18864393,9.764474
20210720:05:41:00:721,0.081852965,0.18726487,9.766944
20210720:05:41:00:724,0.08306922,0.20335391,9.765517
20210720:05:41:00:728,0.08053137,0.19321208,9.75122
20210720:05:41:00:732,0.07165367,0.19066465,9.752838
20210720:05:41:00:737,0.07843404,0.19154571,9.747685
20210720:05:41:00:740,0.079621576,0.19032945,9.75685
20210720:05:41:00:744,0.07783071,0.19876663,9.877806
20210720:05:41:00:748,0.054300494,0.19128715,9.708153
20210720:05:41:00:754,0.101246,0.20299958,9.681711
20210720:05:41:00:756,0.07777324,0.19634369,9.715891
20210720:05:41:00:760,0.057326768,0.17130034,9.789191
20210720:05:41:00:764,0.085578345,0.18112615,9.719396
20210720:05:41:00:768,0.09802819,0.1955105,9.714924
20210720:05:41:00:772,0.046533704,0.18584752,9.724854
20210720:05:41:00:776,0.06169379,0.18439184,9.779156
20210720:05:41:00:780,0.097386554,0.19837397,9.78968
20210720:05:41:00:786,0.05920382,0.20466594,9.817021
20210720:05:41:00:788,0.059778426,0.18963036,9.800262
20210720:05:41:00:792,0.08060799,0.18037915,9.662634
20210720:05:41:00:796,0.08480263,0.21028753,9.844564
20210720:05:41:00:802,0.07856812,0.18970697,9.76841
20210720:05:41:00:806,0.08281065,0.2048479,9.685063
20210720:05:41:00:809,0.06083188,0.2009214,9.675525
20210720:05:41:00:812,0.06967127,0.21525788,9.9204035
20210720:05:41:00:816,0.095547795,0.20194612,9.711686
20210720:05:41:00:821,0.06502652,0.19215862,9.739823
20210720:05:41:00:824,0.061789557,0.16670348,9.613151
20210720:05:41:00:828,0.07602069,0.20096928,9.652473
20210720:05:41:00:832,0.066645,0.18531121,9.714732
20210720:05:41:00:837,0.10485646,0.18120275,9.745388
20210720:05:41:00:840,0.08498458,0.17140569,9.769291
20210720:05:41:00:844,0.08313626,0.16791973,9.729633
20210720:05:41:00:848,0.08169974,0.19666931,9.814206
20210720:05:41:00:853,0.06034346,0.18621142,9.760969
20210720:05:41:00:856,0.08983044,0.18108785,9.687525
20210720:05:41:00:860,0.09067321,0.19188091,9.778571
20210720:05:41:00:864,0.08192958,0.19287689,9.766772
20210720:05:41:00:868,0.0817572,0.20408176,9.78811
20210720:05:41:00:872,0.073750995,0.1834533,9.735351
20210720:05:41:00:876,0.06533298,0.18905574,9.723159
20210720:05:41:00:880,0.07788817,0.17898095,9.761496
20210720:05:41:00:884,0.06542874,0.16096696,9.708919
20210720:05:41:00:888,0.087187245,0.1946007,9.774721
20210720:05:41:00:893,0.077620015,0.19753122,9.800215
20210720:05:41:00:897,0.08616253,0.19908266,9.730898
20210720:05:41:00:902,0.07626011,0.18666154,9.749381
20210720:05:41:00:904,0.07736144,0.17910543,9.805883
20210720:05:41:00:908,0.070389524,0.19124882,9.772834
20210720:05:41:00:912,0.066932306,0.1809825,9.78175
20210720:05:41:00:916,0.07015968,0.187466,9.735111
20210720:05:41:00:920,0.10104489,0.1977036,9.742496
20210720:05:41:00:924,0.075982384,0.19921674,9.746777
20210720:05:41:00:928,0.07590577,0.17915332,9.779835
20210720:05:41:00:932,0.064777516,0.19937955,9.77789
20210720:05:41:00:936,0.07883627,0.1703714,9.740905
20210720:05:41:00:940,0.077466786,0.18613482,9.752838
20210720:05:41:00:944,0.073176384,0.18823214,9.757779
20210720:05:41:00:948,0.080914445,0.20045215,9.761218
20210720:05:41:00:953,0.07937258,0.19846018,9.754505
20210720:05:41:00:956,0.07433517,0.18692012,9.763228
20210720:05:41:00:960,0.072831616,0.18760964,9.76161
20210720:05:41:00:965,0.07633673,0.20038511,9.768669
20210720:05:41:00:969,0.077878594,0.19488801,9.773859
20210720:05:41:00:972,0.08989748,0.19704281,9.767902
20210720:05:41:00:976,0.07199843,0.2087265,9.762367
20210720:05:41:00:980,0.08030152,0.18488984,9.750664
20210720:05:41:00:985,0.07397125,0.16953821,9.7496395
20210720:05:41:00:989,0.08882488,0.18724573,9.741442
20210720:05:41:00:992,0.08928457,0.20741448,9.752589
20210720:05:41:00:996,0.0866318,0.19280028,9.755539
20210720:05:41:01:001,0.078414895,0.18060899,9.760538
20210720:05:41:01:004,0.08288726,0.1916319,9.74485
20210720:05:41:01:008,0.08829816,0.18638381,9.752943
20210720:05:41:01:012,0.08102936,0.19603723,9.772586
20210720:05:41:01:018,0.07973649,0.19270451,9.750903
20210720:05:41:01:020,0.07706457,0.18681477,9.748825
20210720:05:41:01:024,0.07439263,0.18335754,9.767893
20210720:05:41:01:028,0.08859504,0.18303193,9.761218
20210720:05:41:01:032,0.08290642,0.1913446,9.761438
20210720:05:41:01:037,0.06851248,0.19894858,9.742198
20210720:05:41:01:041,0.08033983,0.18336713,9.739066
20210720:05:41:01:044,0.09140105,0.19047311,9.752924
20210720:05:41:01:048,0.08304049,0.19174683,9.770201
20210720:05:41:01:057,0.0870819,0.18532078,9.768237
20210720:05:41:01:058,0.075924926,0.1896495,9.76367
20210720:05:41:01:060,0.08181466,0.17535134,9.755845
20210720:05:41:01:064,0.075426936,0.18881632,9.761802
20210720:05:41:01:068,0.08578903,0.18877801,9.766141
20210720:05:41:01:072,0.08586565,0.18782033,9.771694
20210720:05:41:01:076,0.08554004,0.20539376,9.747964
20210720:05:41:01:080,0.09428366,0.20477128,9.747484
20210720:05:41:01:085,0.07436391,0.1997243,9.754274
20210720:05:41:01:089,0.07009265,0.19738756,9.763938
20210720:05:41:01:093,0.097444005,0.19849847,9.760327
20210720:05:41:01:097,0.08251377,0.20046172,9.764052
20210720:05:41:01:101,0.07058106,0.19192879,9.752886
20210720:05:41:01:104,0.08358637,0.18879716,9.741404
