TIME,X,Y,Z
20210720:01:03:33:411,-5.235988E-5,4.1887903E-4,1.9198621E-4
20210720:01:03:33:413,-5.235988E-5,2.7925268E-4,1.7453292E-5
20210720:01:03:33:416,-5.235988E-5,4.363323E-4,4.886922E-4
20210720:01:03:33:421,-5.235988E-5,2.7925268E-4,5.061455E-4
20210720:01:03:33:424,2.443461E-4,-1.7453292E-4,3.6651915E-4
20210720:01:03:33:429,-3.1415926E-4,2.443461E-4,3.4906584E-4
20210720:01:03:33:432,-1.0471976E-4,-5.235988E-5,-3.8397242E-4
20210720:01:03:33:437,3.6651915E-4,-3.4906585E-5,-7.6794485E-4
20210720:01:03:33:447,3.1415926E-4,5.2359875E-4,6.1086525E-4
20210720:01:03:33:455,1.2217305E-4,1.7453292E-4,3.8397242E-4
20210720:01:03:33:456,-4.712389E-4,1.0471976E-4,3.4906584E-4
20210720:01:03:33:456,-1.2217305E-4,1.0471976E-4,-6.981317E-5
20210720:01:03:33:457,-6.981317E-4,4.1887903E-4,2.7925268E-4
20210720:01:03:33:461,-1.0471976E-4,5.9341197E-4,1.7453292E-5
20210720:01:03:33:465,6.806784E-4,3.1415926E-4,1.7453292E-4
20210720:01:03:33:468,3.1415926E-4,5.7595863E-4,4.5378561E-4
20210720:01:03:33:472,6.283185E-4,1.7453292E-4,-6.283185E-4
20210720:01:03:33:476,7.5049157E-4,-9.424778E-4,-5.5850536E-4
20210720:01:03:33:480,5.061455E-4,-7.6794485E-4,6.981317E-5
20210720:01:03:33:485,2.0943952E-4,5.7595863E-4,2.9670598E-4
20210720:01:03:33:489,-1.9198621E-4,1.2217305E-4,-5.2359875E-4
20210720:01:03:33:493,-6.981317E-5,-3.3161257E-4,2.0943952E-4
20210720:01:03:33:498,-5.061455E-4,-8.726646E-5,3.3161257E-4
20210720:01:03:33:501,1.7453292E-4,3.8397242E-4,3.4906584E-4
20210720:01:03:33:504,1.0471976E-4,2.7925268E-4,-6.981317E-5
20210720:01:03:33:508,-3.4906585E-5,-2.9670598E-4,-1.5707963E-4
20210720:01:03:33:513,-5.235988E-5,-2.6179937E-4,-1.5707963E-4
20210720:01:03:33:516,-5.061455E-4,-9.5993106E-4,-4.712389E-4
20210720:01:03:33:521,-1.2217305E-4,-3.8397242E-4,-7.853982E-4
20210720:01:03:33:524,-6.981317E-4,-8.726646E-5,-1.3962634E-4
20210720:01:03:33:529,-8.5521134E-4,6.981317E-4,-1.5707963E-4
20210720:01:03:33:533,-7.6794485E-4,4.5378561E-4,-6.1086525E-4
20210720:01:03:33:536,0.001012291,-1.3962634E-4,-6.806784E-4
20210720:01:03:33:540,8.0285146E-4,-5.235988E-5,-2.443461E-4
20210720:01:03:33:545,9.5993106E-4,6.981317E-5,1.2217305E-4
20210720:01:03:33:548,1.0471976E-4,8.726646E-5,0.0
20210720:01:03:33:552,-3.4906585E-5,1.0471976E-4,1.5707963E-4
20210720:01:03:33:556,-5.235988E-5,1.0471976E-4,3.1415926E-4
20210720:01:03:33:563,-5.235988E-5,1.0471976E-4,3.4906585E-5
20210720:01:03:33:565,6.806784E-4,1.0471976E-4,4.886922E-4
20210720:01:03:33:569,5.061455E-4,-1.7453292E-5,1.9198621E-4
20210720:01:03:33:572,4.712389E-4,2.0943952E-4,6.981317E-5
20210720:01:03:33:576,-2.7925268E-4,-3.1415926E-4,4.363323E-4
20210720:01:03:33:581,-0.0011693706,3.4906585E-5,5.235988E-5
20210720:01:03:33:585,-9.424778E-4,5.2359875E-4,4.886922E-4
20210720:01:03:33:588,-2.0943952E-4,1.7453292E-4,1.9198621E-4
20210720:01:03:33:592,-8.726646E-5,1.0471976E-4,1.9198621E-4
20210720:01:03:33:598,3.6651915E-4,1.0471976E-4,-2.9670598E-4
20210720:01:03:33:601,-2.9670598E-4,1.0471976E-4,-4.363323E-4
20210720:01:03:33:604,2.0943952E-4,1.0471976E-4,-4.0142573E-4
20210720:01:03:33:608,-1.7453292E-5,4.1887903E-4,-4.5378561E-4
20210720:01:03:33:613,-5.235988E-5,-1.7453292E-5,-2.0943952E-4
20210720:01:03:33:617,-5.235988E-5,-4.712389E-4,2.6179937E-4
20210720:01:03:33:620,-5.235988E-5,0.0,1.7453292E-5
20210720:01:03:33:624,2.443461E-4,8.3775807E-4,1.7453292E-4
20210720:01:03:33:629,8.726646E-4,0.001553343,6.283185E-4
20210720:01:03:33:632,6.6322513E-4,0.0013613568,2.0943952E-4
20210720:01:03:33:637,5.235988E-5,-4.363323E-4,-2.2689281E-4
20210720:01:03:33:640,-3.4906585E-5,-8.726646E-4,2.443461E-4
20210720:01:03:33:646,-5.235988E-5,-1.7453292E-4,-5.410521E-4
20210720:01:03:33:649,-5.235988E-5,5.235988E-5,-1.0471976E-4
20210720:01:03:33:653,-3.6651915E-4,5.410521E-4,1.3962634E-4
20210720:01:03:33:656,-2.2689281E-4,1.7453292E-4,-7.330383E-4
20210720:01:03:33:662,-8.726646E-5,1.0471976E-4,2.2689281E-4
20210720:01:03:33:664,-6.981317E-4,1.0471976E-4,4.5378561E-4
20210720:01:03:33:669,-0.0011693706,-1.7453292E-5,-5.061455E-4
20210720:01:03:33:672,-3.6651915E-4,-2.2689281E-4,-8.726646E-5
20210720:01:03:33:676,-1.0471976E-4,4.886922E-4,-1.5707963E-4
20210720:01:03:33:681,-6.981317E-5,-1.3962634E-4,-2.9670598E-4
20210720:01:03:33:685,-5.235988E-5,-5.061455E-4,-8.2030473E-4
20210720:01:03:33:689,-5.235988E-5,0.0,-9.773844E-4
20210720:01:03:33:692,0.0016406095,7.15585E-4,-1.7453292E-4
20210720:01:03:33:697,7.330383E-4,4.5378561E-4,-7.330383E-4
20210720:01:03:33:701,-6.806784E-4,-1.3962634E-4,1.7453292E-4
20210720:01:03:33:705,-1.0471976E-4,-5.235988E-5,3.1415926E-4
20210720:01:03:33:709,-4.363323E-4,-3.4906584E-4,3.4906584E-4
20210720:01:03:33:713,0.0015707964,3.3161257E-4,-4.0142573E-4
20210720:01:03:33:717,4.5378561E-4,7.15585E-4,-2.0943952E-4
20210720:01:03:33:721,-4.1887903E-4,4.5378561E-4,-2.9670598E-4
20210720:01:03:33:725,1.9198621E-4,1.5707963E-4,-5.235988E-5
20210720:01:03:33:730,0.0010471975,2.9670598E-4,-0.0010297443
20210720:01:03:33:733,4.363323E-4,0.0019024089,0.0
20210720:01:03:33:737,0.0010297443,5.2359875E-4,2.9670598E-4
20210720:01:03:33:740,4.1887903E-4,-0.0017802358,-4.0142573E-4
20210720:01:03:33:746,6.457718E-4,-5.7595863E-4,8.726646E-5
20210720:01:03:33:749,0.0016755161,-8.726646E-4,7.5049157E-4
20210720:01:03:33:753,0.0024958209,-8.726646E-4,-3.3161257E-4
20210720:01:03:33:756,2.9670598E-4,1.2217305E-4,-3.1415926E-4
20210720:01:03:33:761,4.363323E-4,0.0013613568,-8.2030473E-4
20210720:01:03:33:765,-8.726646E-5,-1.9198621E-4,-5.2359875E-4
20210720:01:03:33:769,-0.0011868239,2.2689281E-4,-0.0011693706
20210720:01:03:33:772,-0.0024609142,0.001256637,-0.0011693706
20210720:01:03:33:779,-9.5993106E-4,5.410521E-4,1.0471976E-4
20210720:01:03:33:781,7.853982E-4,-0.0012042772,0.0
20210720:01:03:33:785,0.0012042772,-0.001553343,-2.6179937E-4
20210720:01:03:33:788,3.8397242E-4,-7.15585E-4,-8.2030473E-4
20210720:01:03:33:793,5.5850536E-4,0.0011693706,-8.726646E-5
20210720:01:03:33:798,-6.981317E-5,-9.773844E-4,-1.7453292E-5
20210720:01:03:33:801,-8.2030473E-4,1.5707963E-4,1.5707963E-4
20210720:01:03:33:804,-4.1887903E-4,8.0285146E-4,3.1415926E-4
20210720:01:03:33:809,-8.0285146E-4,9.5993106E-4,3.4906584E-4
20210720:01:03:33:813,5.061455E-4,0.0021293017,3.4906584E-4
20210720:01:03:33:817,-8.3775807E-4,0.0010646508,3.4906584E-4
20210720:01:03:33:821,-8.901179E-4,-6.6322513E-4,3.4906584E-4
20210720:01:03:33:825,1.0471976E-4,-0.0012217305,3.4906584E-4
20210720:01:03:33:829,9.5993106E-4,-9.250245E-4,3.4906585E-5
20210720:01:03:33:832,7.330383E-4,4.363323E-4,-1.2217305E-4
20210720:01:03:33:837,5.235988E-5,-2.0943952E-4,-9.250245E-4
20210720:01:03:33:841,-0.002321288,-5.7595863E-4,-7.330383E-4
20210720:01:03:33:847,5.235988E-5,-5.061455E-4,-0.0011519173
20210720:01:03:33:849,0.0014660766,3.1415926E-4,-7.6794485E-4
20210720:01:03:33:852,1.2217305E-4,0.0010297443,-4.0142573E-4
20210720:01:03:33:856,-0.0017976891,8.2030473E-4,8.726646E-5
20210720:01:03:33:861,8.726646E-5,3.4906584E-4,0.0
20210720:01:03:33:865,-0.0016755161,-2.7925268E-4,-1.3962634E-4
20210720:01:03:33:869,-5.7595863E-4,-0.0013439035,1.3962634E-4
20210720:01:03:33:873,-4.5378561E-4,-0.0012740904,-1.0471976E-4
20210720:01:03:33:877,-0.001012291,-0.0014486233,2.7925268E-4
20210720:01:03:33:881,-0.0014137167,-0.0017976891,1.7453292E-5
20210720:01:03:33:885,3.8397242E-4,-0.0010297443,-4.5378561E-4
20210720:01:03:33:889,9.5993106E-4,-2.0943952E-4,-1.7453292E-5
20210720:01:03:33:893,-6.981317E-5,-0.0012042772,-1.3962634E-4
20210720:01:03:33:897,4.363323E-4,-0.0020071287,-3.4906584E-4
20210720:01:03:33:901,0.0012217305,-4.886922E-4,-4.5378561E-4
20210720:01:03:33:904,2.6179937E-4,-0.0013788101,-8.726646E-5
20210720:01:03:33:909,2.9670598E-4,1.7453292E-4,1.3962634E-4
20210720:01:03:33:913,0.0011868239,-7.6794485E-4,3.1415926E-4
20210720:01:03:33:917,-3.4906584E-4,2.6179937E-4,3.4906584E-4
20210720:01:03:33:921,-8.5521134E-4,4.363323E-4,3.4906584E-4
20210720:01:03:33:924,-4.5378561E-4,-9.0757123E-4,3.4906584E-4
20210720:01:03:33:929,3.1415926E-4,-0.0012042772,3.4906585E-5
20210720:01:03:33:932,0.001012291,-9.948377E-4,-2.6179937E-4
20210720:01:03:33:938,-0.0032114058,0.0022340214,-0.001256637
20210720:01:03:33:941,6.6322513E-4,-0.0033859387,-1.5707963E-4
20210720:01:03:33:946,-2.9670598E-4,1.9198621E-4,-1.5707963E-4
20210720:01:03:33:949,-0.00143117,8.2030473E-4,-1.5707963E-4
20210720:01:03:33:952,-0.0047298423,0.0059166662,2.6179937E-4
20210720:01:03:33:956,-0.0015882496,0.0029670596,3.3161257E-4
20210720:01:03:33:962,-1.2217305E-4,0.0015882496,-8.726646E-5
20210720:01:03:33:965,3.6651915E-4,0.0010995574,-0.0013613568
20210720:01:03:33:968,-6.1086525E-4,6.457718E-4,-3.6651915E-4
20210720:01:03:33:972,-2.0943952E-4,1.2217305E-4,-6.457718E-4
20210720:01:03:33:978,2.7925268E-4,1.7453292E-4,5.235988E-5
20210720:01:03:33:981,-0.0017802358,-5.7595863E-4,2.9670598E-4
20210720:01:03:33:984,-9.0757123E-4,1.0471976E-4,-8.726646E-5
20210720:01:03:33:988,1.0471976E-4,9.948377E-4,2.7925268E-4
20210720:01:03:33:993,-1.7453292E-5,3.6651915E-4,3.3161257E-4
20210720:01:03:33:996,5.061455E-4,-5.9341197E-4,-6.981317E-5
20210720:01:03:34:001,6.6322513E-4,7.330383E-4,7.15585E-4
20210720:01:03:34:005,4.886922E-4,2.0943952E-4,0.0010471975
20210720:01:03:34:009,9.0757123E-4,-0.001256637,4.0142573E-4
20210720:01:03:34:013,9.773844E-4,-0.0018849556,-9.5993106E-4
20210720:01:03:34:016,9.948377E-4,-0.0010995574,0.0
20210720:01:03:34:020,8.5521134E-4,-0.0018675023,2.9670598E-4
20210720:01:03:34:024,8.3775807E-4,-0.0014137167,-8.726646E-5
20210720:01:03:34:029,-8.5521134E-4,-0.0026703537,2.7925268E-4
20210720:01:03:34:032,-4.363323E-4,-0.0023736479,3.3161257E-4
20210720:01:03:34:037,-1.2217305E-4,-0.0010646508,3.4906584E-4
