TIME,X,Y,Z
20210720:05:55:16:169,-3.4906584E-4,-1.7453292E-5,5.7595863E-4
20210720:05:55:16:169,1.9198621E-4,-3.8397242E-4,0.0
20210720:05:55:16:175,0.0032637657,0.0,-1.0471976E-4
20210720:05:55:16:177,0.003403392,9.424778E-4,-2.443461E-4
20210720:05:55:16:180,-0.0013613568,7.15585E-4,-4.0142573E-4
20210720:05:55:16:184,0.0012740904,0.0021816615,-8.0285146E-4
20210720:05:55:16:188,-8.2030473E-4,5.5850536E-4,-2.9670598E-4
20210720:05:55:16:193,-0.0022863813,-0.0016231562,1.3962634E-4
20210720:05:55:16:197,-5.410521E-4,-2.0943952E-4,2.2689281E-4
20210720:05:55:16:201,-1.3962634E-4,1.3962634E-4,2.443461E-4
20210720:05:55:16:205,-6.283185E-4,2.0943952E-4,-5.061455E-4
20210720:05:55:16:209,1.7453292E-5,-0.0012915436,-3.1415926E-4
20210720:05:55:16:213,-3.4906585E-5,-5.9341197E-4,1.7453292E-5
20210720:05:55:16:217,1.2217305E-4,-0.0012391837,-2.2689281E-4
20210720:05:55:16:220,5.9341197E-4,-1.3962634E-4,1.5707963E-4
20210720:05:55:16:225,9.250245E-4,1.5707963E-4,2.2689281E-4
20210720:05:55:16:229,-3.3161257E-4,2.0943952E-4,-1.9198621E-4
20210720:05:55:16:233,6.981317E-5,2.0943952E-4,-5.7595863E-4
20210720:05:55:16:237,-1.5707963E-4,2.0943952E-4,0.0
20210720:05:55:16:242,-5.061455E-4,2.0943952E-4,1.9198621E-4
20210720:05:55:16:244,3.4906585E-5,2.0943952E-4,-6.981317E-5
20210720:05:55:16:248,2.6179937E-4,-8.726646E-5,-3.6651915E-4
20210720:05:55:16:252,6.1086525E-4,-4.0142573E-4,-2.9670598E-4
20210720:05:55:16:256,4.886922E-4,5.5850536E-4,-1.3962634E-4
20210720:05:55:16:261,3.3161257E-4,-1.5707963E-4,3.6651915E-4
20210720:05:55:16:264,6.283185E-4,2.7925268E-4,6.981317E-5
20210720:05:55:16:268,4.886922E-4,-3.3161257E-4,8.726646E-5
20210720:05:55:16:272,6.6322513E-4,-1.7453292E-4,2.0943952E-4
20210720:05:55:16:277,5.235988E-5,-4.0142573E-4,-6.981317E-5
20210720:05:55:16:281,2.6179937E-4,1.0471976E-4,5.235988E-5
20210720:05:55:16:285,2.9670598E-4,1.9198621E-4,2.0943952E-4
20210720:05:55:16:289,3.1415926E-4,2.0943952E-4,-5.061455E-4
20210720:05:55:16:293,3.1415926E-4,-8.726646E-5,0.0
20210720:05:55:16:297,0.0,-4.0142573E-4,1.9198621E-4
20210720:05:55:16:300,-2.9670598E-4,1.0471976E-4,2.2689281E-4
20210720:05:55:16:304,2.0943952E-4,1.9198621E-4,-1.9198621E-4
20210720:05:55:16:309,-8.901179E-4,-5.410521E-4,-5.7595863E-4
20210720:05:55:16:312,0.0,-1.7453292E-5,-3.3161257E-4
20210720:05:55:16:316,2.6179937E-4,1.7453292E-4,3.3161257E-4
20210720:05:55:16:320,2.9670598E-4,2.0943952E-4,3.8397242E-4
