TIME,X,Y,Z
20210720:12:54:04:610,0.07146213,0.21124521,9.748078
20210720:12:54:04:610,0.07821378,0.20919576,9.749515
20210720:12:54:04:613,0.06435614,0.21159954,9.753718
20210720:12:54:04:617,0.06868486,0.2088127,9.75889
20210720:12:54:04:621,0.06997773,0.2084871,9.755328
20210720:12:54:04:626,0.06252697,0.22627121,9.749448
20210720:12:54:04:630,0.0698245,0.2095597,9.744784
20210720:12:54:04:632,0.06830179,0.21522915,9.753854
20210720:12:54:04:636,0.05447288,0.20119913,9.752675
20210720:12:54:04:641,0.051666874,0.20548955,9.743109
20210720:12:54:04:644,0.05899313,0.18892166,9.743127
20210720:12:54:04:648,0.06911582,0.18711165,9.753087
20210720:12:54:04:653,0.053505618,0.18545486,9.741614
20210720:12:54:04:656,0.05523902,0.19812499,9.750903
20210720:12:54:04:660,0.07983226,0.18987934,9.7412405
20210720:12:54:04:664,0.058772862,0.20165882,9.740895
20210720:12:54:04:670,0.06331227,0.19967642,9.747274
20210720:12:54:04:673,0.07108864,0.20119913,9.752954
20210720:12:54:04:676,0.06163633,0.20345926,9.756592
20210720:12:54:04:680,0.056043472,0.19991584,9.751401
20210720:12:54:04:685,0.05996996,0.20977037,9.741345
20210720:12:54:04:688,0.052729897,0.22030488,9.74645
20210720:12:54:04:693,0.0606978,0.19951361,9.7605
20210720:12:54:04:697,0.062076863,0.20228131,9.756611
20210720:12:54:04:701,0.0545878,0.1850239,9.748012
20210720:12:54:04:705,0.06665457,0.18171991,9.739842
20210720:12:54:04:708,0.054875102,0.19190964,9.761333
20210720:12:54:04:713,0.06246951,0.1893622,9.746566
20210720:12:54:04:717,0.06517975,0.19306841,9.750607
20210720:12:54:04:720,0.05716396,0.19399737,9.740427
20210720:12:54:04:724,0.0571065,0.19190006,9.734354
20210720:12:54:04:728,0.060314726,0.206045,9.743903
20210720:12:54:04:732,0.05926128,0.18843326,9.753911
20210720:12:54:04:738,0.057891797,0.19249383,9.748777
20210720:12:54:04:741,0.07186436,0.19335572,9.752475
20210720:12:54:04:745,0.077217795,0.19545305,9.75733
20210720:12:54:04:749,0.072889075,0.19016665,9.757607
20210720:12:54:04:753,0.056273315,0.19385374,9.751688
20210720:12:54:04:757,0.053850383,0.2000499,9.759064
20210720:12:54:04:761,0.046562437,0.1976174,9.758134
20210720:12:54:04:764,0.07327215,0.21799685,9.754591
20210720:12:54:04:769,0.05259582,0.20846793,9.769234
20210720:12:54:04:773,0.070236295,0.19295351,9.751469
20210720:12:54:04:777,0.06088934,0.19298224,9.764455
20210720:12:54:04:780,0.04642836,0.20481917,9.751373
20210720:12:54:04:786,0.06369534,0.21950041,9.746326
20210720:12:54:04:789,0.06500736,0.21214543,9.742025
20210720:12:54:04:793,0.06706638,0.1955584,9.758067
20210720:12:54:04:797,0.0624312,0.19202456,9.7484045
20210720:12:54:04:800,0.05457822,0.19274281,9.760644
20210720:12:54:04:805,0.04852568,0.20338264,9.753355
20210720:12:54:04:809,0.0568575,0.19856551,9.740283
20210720:12:54:04:813,0.04471411,0.19935082,9.741672
20210720:12:54:04:816,0.056579772,0.18686266,9.752541
20210720:12:54:04:821,0.055258173,0.19447622,9.754897
20210720:12:54:04:825,0.058792014,0.19565415,9.746326
20210720:12:54:04:828,0.076451644,0.19330785,9.758536
20210720:12:54:04:832,0.06782295,0.20387106,9.761993
20210720:12:54:04:837,0.06630023,0.1969566,9.767998
20210720:12:54:04:841,0.06359,0.19608511,9.773352
20210720:12:54:04:844,0.074440524,0.20940647,9.762961
20210720:12:54:04:848,0.0671813,0.19731094,9.744065
20210720:12:54:04:853,0.06785168,0.197378,9.748213
20210720:12:54:04:857,0.078280814,0.196133,9.760423
20210720:12:54:04:861,0.057796028,0.20751981,9.750913
20210720:12:54:04:864,0.07745721,0.20933941,9.70618
20210720:12:54:04:870,0.07931512,0.19815372,9.750214
20210720:12:54:04:873,0.060142346,0.19158402,9.746038
20210720:12:54:04:877,0.0834906,0.2089755,9.719933
20210720:12:54:04:880,0.092904605,0.20551828,9.739765
20210720:12:54:04:887,0.068627395,0.20086396,9.749562
20210720:12:54:04:889,0.07703584,0.1897357,9.716111
20210720:12:54:04:893,0.08785763,0.21038328,9.731405
20210720:12:54:04:897,0.06606081,0.20653342,9.73536
20210720:12:54:04:900,0.054721873,0.20925324,9.7157755
20210720:12:54:04:904,0.0734158,0.22064005,9.728293
20210720:12:54:04:908,0.05076665,0.18553148,9.7472925
20210720:12:54:04:913,0.06764098,0.20292296,9.715
20210720:12:54:04:917,0.0845632,0.20713675,9.718324
20210720:12:54:04:920,0.045173798,0.19199581,9.726253
20210720:12:54:04:925,0.05670427,0.20112251,9.715134
20210720:12:54:04:928,0.085722,0.21518128,9.716925
20210720:12:54:04:932,0.06597462,0.19504124,9.73266
20210720:12:54:04:936,0.06827305,0.21887791,9.747695
20210720:12:54:04:940,0.07208463,0.2015822,9.755251
20210720:12:54:04:944,0.067401566,0.20255904,9.727278
20210720:12:54:04:948,0.067593105,0.21200177,9.78154
20210720:12:54:04:953,0.052251056,0.18149006,9.801689
20210720:12:54:04:957,0.0670568,0.17836803,9.757167
20210720:12:54:04:960,0.07726568,0.19453368,9.766677
20210720:12:54:04:964,0.06820602,0.1925417,9.79421
20210720:12:54:04:969,0.0735403,0.18421945,9.775555
20210720:12:54:04:973,0.08289684,0.19783768,9.773236
20210720:12:54:04:976,0.042894516,0.20850624,9.753738
20210720:12:54:04:980,0.053007625,0.2032773,9.747954
20210720:12:54:04:985,0.06319735,0.20176417,9.771475
20210720:12:54:04:989,0.030846896,0.18686266,9.752483
20210720:12:54:04:992,0.04954082,0.21241358,9.7639475
20210720:12:54:04:996,0.045547295,0.21943338,9.77383
20210720:12:54:05:002,0.03919787,0.19661185,9.770326
20210720:12:54:05:005,0.051628567,0.2017546,9.762692
20210720:12:54:05:008,0.05343858,0.21357237,9.765537
20210720:12:54:05:012,0.04343082,0.2090617,9.78085
20210720:12:54:05:016,0.050278235,0.20929153,9.763276
20210720:12:54:05:021,0.07431602,0.21164744,9.799104
20210720:12:54:05:025,0.04164953,0.2121167,9.838704
20210720:12:54:05:028,0.050536808,0.20038511,9.779156
20210720:12:54:05:033,0.106561124,0.19646819,9.783082
20210720:12:54:05:037,0.06964254,0.20540336,9.851728
20210720:12:54:05:042,0.060142346,0.19864212,9.784269
20210720:12:54:05:044,0.09118078,0.2059205,9.764848
20210720:12:54:05:049,0.094034664,0.20098844,9.792093
20210720:12:54:05:053,0.069451004,0.17956513,9.783014
20210720:12:54:05:057,0.06204813,0.18904617,9.7632
20210720:12:54:05:060,0.07472782,0.21411824,9.757186
20210720:12:54:05:064,0.054233454,0.22113805,9.748711
20210720:12:54:05:069,0.07015011,0.20031807,9.74916
20210720:12:54:05:073,0.058418524,0.18398005,9.744228
20210720:12:54:05:076,0.08284895,0.18235198,9.749515
20210720:12:54:05:080,0.07985142,0.18178694,9.74895
20210720:12:54:05:085,0.058600478,0.19935082,9.755645
20210720:12:54:05:089,0.06655881,0.21382137,9.766265
20210720:12:54:05:092,0.07094499,0.21573673,9.757962
20210720:12:54:05:096,0.0543388,0.21269129,9.754514
20210720:12:54:05:102,0.06662585,0.20808485,9.734125
20210720:12:54:05:104,0.07122271,0.19847932,9.739613
20210720:12:54:05:108,0.06857951,0.19475393,9.752321
20210720:12:54:05:112,0.056752156,0.20138109,9.749687
20210720:12:54:05:116,0.059816733,0.21471201,9.756841
20210720:12:54:05:121,0.053007625,0.20480002,9.75687
20210720:12:54:05:124,0.055851936,0.1893239,9.758632
20210720:12:54:05:128,0.056847923,0.20985657,9.748318
20210720:12:54:05:133,0.054808065,0.21114942,9.741987
20210720:12:54:05:137,0.061119184,0.21086213,9.757119
20210720:12:54:05:141,0.062354587,0.2090617,9.746939
20210720:12:54:05:144,0.05958689,0.2090138,9.742849
20210720:12:54:05:149,0.039619252,0.20071073,9.7442
20210720:12:54:05:153,0.040270474,0.19503167,9.747178
20210720:12:54:05:156,0.06177998,0.1916319,9.74511
20210720:12:54:05:160,0.04801811,0.19483055,9.734948
20210720:12:54:05:164,0.04912902,0.20378487,9.743864
20210720:12:54:05:169,0.060985107,0.20932026,9.754055
20210720:12:54:05:176,0.056551043,0.1873415,9.7361355
20210720:12:54:05:178,0.049895164,0.19867085,9.74102
20210720:12:54:05:180,0.060965955,0.20535547,9.756525
20210720:12:54:05:185,0.063321844,0.19506039,9.754055
20210720:12:54:05:189,0.049023673,0.21910776,9.754332
20210720:12:54:05:193,0.05861006,0.19831651,9.750377
20210720:12:54:05:196,0.055133678,0.21258596,9.74849
20210720:12:54:05:202,0.0617321,0.20155348,9.738377
20210720:12:54:05:206,0.052796938,0.20884143,9.743214
20210720:12:54:05:209,0.06241205,0.2264819,9.745703
20210720:12:54:05:214,0.053649273,0.1882513,9.733685
20210720:12:54:05:217,0.06343677,0.20271227,9.741614
20210720:12:54:05:221,0.06922116,0.19701406,9.7444105
20210720:12:54:05:224,0.06318777,0.1924172,9.743136
20210720:12:54:05:229,0.06896259,0.19180429,9.748662
20210720:12:54:05:233,0.056914963,0.2122316,9.734594
20210720:12:54:05:237,0.067468606,0.21150379,9.740091
20210720:12:54:05:241,0.065572396,0.2028272,9.744842
20210720:12:54:05:244,0.08213069,0.19937955,9.752282
20210720:12:54:05:249,0.06423164,0.2101343,9.745924
20210720:12:54:05:275,0.063800685,0.2033635,9.746125
20210720:12:54:05:275,0.058973975,0.19990626,9.747303
20210720:12:54:05:276,0.06831136,0.19199581,9.750367
20210720:12:54:05:276,0.064930744,0.20447439,9.741318
20210720:12:54:05:277,0.050220776,0.21303608,9.745741
20210720:12:54:05:277,0.058552597,0.21649331,9.747217
20210720:12:54:05:277,0.04819049,0.2189737,9.744248
20210720:12:54:05:281,0.049406745,0.2118294,9.755271
