TIME,X,Y,Z
20210720:01:10:15:566,0.08410352,0.2050107,9.746403
20210720:01:10:15:566,0.086650945,0.19801964,9.752178
20210720:01:10:15:570,0.100001015,0.19583613,9.755884
20210720:01:10:15:572,0.10509588,0.19849847,9.747484
20210720:01:10:15:577,0.10664732,0.19066465,9.738329
20210720:01:10:15:580,0.09415916,0.19011877,9.747494
20210720:01:10:15:584,0.08554004,0.20200358,9.749706
20210720:01:10:15:588,0.0832033,0.19565415,9.746795
20210720:01:10:15:592,0.093124874,0.19846974,9.74714
20210720:01:10:15:596,0.085798614,0.20698352,9.754006
20210720:01:10:15:601,0.08001422,0.19550093,9.762548
20210720:01:10:15:604,0.082925566,0.1909711,9.750511
20210720:01:10:15:608,0.058131218,0.19906351,9.762195
20210720:01:10:15:612,0.06228755,0.17927782,9.751229
20210720:01:10:15:616,0.07972691,0.18213171,9.74239
20210720:01:10:15:620,0.07377972,0.1975791,9.741499
20210720:01:10:15:624,0.08282023,0.19969557,9.750711
20210720:01:10:15:628,0.08626787,0.1913829,9.744764
20210720:01:10:15:632,0.09662041,0.19526152,9.744525
20210720:01:10:15:636,0.08315541,0.1828021,9.747552
20210720:01:10:15:641,0.07192182,0.18855776,9.753987
20210720:01:10:15:645,0.07685387,0.20780712,9.755902
20210720:01:10:15:648,0.077744514,0.21253806,9.756113
20210720:01:10:15:653,0.09109459,0.19431342,9.753298
20210720:01:10:15:656,0.10298898,0.19056888,9.739258
20210720:01:10:15:660,0.08748413,0.19302054,9.741556
20210720:01:10:15:664,0.083969444,0.1960085,9.746191
20210720:01:10:15:668,0.071280174,0.20778798,9.758392
20210720:01:10:15:672,0.08359595,0.18631677,9.753068
20210720:01:10:15:676,0.06495948,0.19425595,9.746096
20210720:01:10:15:680,0.078951195,0.19878578,9.758823
20210720:01:10:15:685,0.07883627,0.19976261,9.747235
20210720:01:10:15:689,0.08883446,0.20931068,9.73943
20210720:01:10:15:693,0.09222465,0.19772275,9.751938
20210720:01:10:15:697,0.08643068,0.20435949,9.74286
20210720:01:10:15:702,0.078280814,0.19940826,9.75077
20210720:01:10:15:705,0.08124005,0.2081902,9.762587
20210720:01:10:15:708,0.082743615,0.20074902,9.756411
20210720:01:10:15:712,0.079899296,0.19392076,9.757099
20210720:01:10:15:716,0.08646899,0.20612161,9.753614
20210720:01:10:15:720,0.094475195,0.19687042,9.759341
20210720:01:10:15:724,0.07416279,0.19470605,9.762817
20210720:01:10:15:728,0.07802225,0.1935281,9.752475
20210720:01:10:15:732,0.079420455,0.19433257,9.752608
20210720:01:10:15:736,0.08607634,0.19264705,9.75687
20210720:01:10:15:741,0.08807789,0.18880674,9.743788
20210720:01:10:15:745,0.09206185,0.18309897,9.759494
20210720:01:10:15:749,0.091448925,0.18585709,9.756966
20210720:01:10:15:753,0.07222828,0.19180429,9.750281
20210720:01:10:15:757,0.07555143,0.19933166,9.751516
20210720:01:10:15:761,0.07840532,0.18268716,9.759714
20210720:01:10:15:764,0.09874645,0.1979047,9.756352
20210720:01:10:15:769,0.09427409,0.20242497,9.750012
20210720:01:10:15:772,0.0858848,0.1968321,9.756737
20210720:01:10:15:777,0.080435604,0.19580738,9.753806
20210720:01:10:15:780,0.07493851,0.19710983,9.739028
20210720:01:10:15:784,0.10047028,0.19317377,9.761103
20210720:01:10:15:788,0.08093359,0.19005173,9.751028
20210720:01:10:15:792,0.10386047,0.20360291,9.690781
20210720:01:10:15:796,0.08522401,0.20833386,9.770795
20210720:01:10:15:801,0.06727707,0.18888336,9.744238
20210720:01:10:15:804,0.104798995,0.20851581,9.748462
20210720:01:10:15:808,0.07548439,0.19674593,9.708794
20210720:01:10:15:812,0.10494265,0.20959799,9.709619
20210720:01:10:15:816,0.10049901,0.21576546,9.660643
20210720:01:10:15:820,0.08503247,0.19303012,9.744488
20210720:01:10:15:824,0.08173805,0.1927907,9.791805
20210720:01:10:15:828,0.057499148,0.1623556,9.769071
20210720:01:10:15:832,0.094484776,0.20450313,9.721426
20210720:01:10:15:837,0.11675085,0.20557573,9.617929
20210720:01:10:15:840,0.10077674,0.21976857,9.737678
20210720:01:10:15:844,0.08294473,0.21020134,9.87815
20210720:01:10:15:848,0.06661627,0.18177737,9.758402
20210720:01:10:15:852,0.09082644,0.17652929,9.709407
20210720:01:10:15:856,0.107633725,0.22236387,9.713832
20210720:01:10:15:860,0.094197474,0.2090138,9.696172
20210720:01:10:15:864,0.08807789,0.20980869,9.749985
20210720:01:10:15:869,0.07269754,0.1861827,9.824981
20210720:01:10:15:872,0.07410533,0.18388426,9.713325
20210720:01:10:15:877,0.09595003,0.20072988,9.641757
20210720:01:10:15:880,0.08531977,0.21152294,9.70234
20210720:01:10:15:886,0.09840169,0.20002118,9.730227
20210720:01:10:15:888,0.053859964,0.19693746,9.86685
20210720:01:10:15:892,0.072544314,0.19933166,9.786051
20210720:01:10:15:897,0.10354444,0.20438822,9.769703
20210720:01:10:15:902,0.10872549,0.20279846,9.682247
20210720:01:10:15:905,0.10608229,0.1991018,9.731951
20210720:01:10:15:908,0.062488664,0.17269856,9.760614
20210720:01:10:15:912,0.081259206,0.17813818,9.817127
20210720:01:10:15:917,0.08616253,0.20276973,9.692878
20210720:01:10:15:920,0.09907207,0.20351672,9.700712
20210720:01:10:15:924,0.10036494,0.21131223,9.682956
20210720:01:10:15:929,0.0692882,0.18692969,9.786252
20210720:01:10:15:932,0.07627927,0.1811836,9.816074
20210720:01:10:15:937,0.06922116,0.18971653,9.781339
20210720:01:10:15:940,0.082485035,0.2019557,9.7088995
20210720:01:10:15:944,0.10573752,0.22137748,9.607577
20210720:01:10:15:948,0.085645385,0.20524053,9.726761
20210720:01:10:15:953,0.089016415,0.19430384,9.818525
20210720:01:10:15:957,0.0611958,0.17583017,9.841787
20210720:01:10:15:960,0.08580819,0.18704462,9.745904
