TIME,X,Y,Z
20210720:01:21:27:751,4.712389E-4,-1.5707963E-4,-8.2030473E-4
20210720:01:21:27:767,-2.9670598E-4,-7.15585E-4,2.0943952E-4
20210720:01:21:27:767,6.283185E-4,2.443461E-4,-6.806784E-4
20210720:01:21:27:767,1.5707963E-4,3.4906584E-4,-0.0012740904
20210720:01:21:27:768,3.8397242E-4,2.443461E-4,-4.1887903E-4
20210720:01:21:27:768,-4.363323E-4,2.2689281E-4,4.0142573E-4
20210720:01:21:27:772,-1.3962634E-4,2.0943952E-4,1.0471976E-4
20210720:01:21:27:777,-8.726646E-5,6.6322513E-4,1.7453292E-4
20210720:01:21:27:780,-4.0142573E-4,6.1086525E-4,-3.6651915E-4
20210720:01:21:27:786,-0.0011519173,8.5521134E-4,-4.5378561E-4
20210720:01:21:27:789,-6.981317E-4,-1.0471976E-4,2.7925268E-4
20210720:01:21:27:792,1.2217305E-4,1.5707963E-4,8.726646E-5
20210720:01:21:27:796,5.061455E-4,-2.2689281E-4,5.235988E-5
20210720:01:21:27:805,-4.1887903E-4,4.5378561E-4,1.7453292E-4
20210720:01:21:27:805,-1.3962634E-4,-5.410521E-4,-3.6651915E-4
20210720:01:21:27:809,-9.773844E-4,-9.0757123E-4,2.7925268E-4
20210720:01:21:27:813,8.3775807E-4,-0.0010995574,-2.0943952E-4
20210720:01:21:27:817,0.0,0.0015184365,3.1415926E-4
20210720:01:21:27:821,-1.9198621E-4,6.806784E-4,2.0943952E-4
20210720:01:21:27:825,-8.726646E-5,2.9670598E-4,-0.0011170107
20210720:01:21:27:828,-8.726646E-5,2.2689281E-4,-2.6179937E-4
20210720:01:21:27:832,-6.981317E-5,2.0943952E-4,-1.2217305E-4
20210720:01:21:27:836,-1.7453292E-5,8.726646E-5,1.3962634E-4
20210720:01:21:27:841,0.0027052604,0.0015184365,-0.001256637
20210720:01:21:27:844,-9.424778E-4,2.443461E-4,1.3962634E-4
20210720:01:21:27:848,-0.0011693706,8.726646E-5,5.235988E-5
20210720:01:21:27:852,-0.0012740904,-0.0013089969,3.4906585E-5
20210720:01:21:27:856,-2.7925268E-4,-2.7925268E-4,4.886922E-4
20210720:01:21:27:860,-1.0471976E-4,1.3962634E-4,-1.9198621E-4
20210720:01:21:27:864,-8.3775807E-4,-1.0471976E-4,0.0
20210720:01:21:27:870,-0.0010995574,-2.6179937E-4,-6.981317E-5
20210720:01:21:27:872,-0.0024609142,-4.1887903E-4,9.0757123E-4
20210720:01:21:27:877,-5.9341197E-4,-1.9198621E-4,6.283185E-4
20210720:01:21:27:880,-6.1086525E-4,1.7453292E-5,2.6179937E-4
20210720:01:21:27:886,-1.5707963E-4,1.7453292E-4,6.981317E-5
20210720:01:21:27:888,-0.0011170107,-0.0010995574,8.0285146E-4
20210720:01:21:27:893,-1.2217305E-4,0.0,1.7453292E-4
20210720:01:21:27:896,-8.726646E-5,1.7453292E-4,5.061455E-4
20210720:01:21:27:902,8.5521134E-4,0.0010995574,-1.7453292E-4
20210720:01:21:27:905,8.901179E-4,3.6651915E-4,-8.726646E-4
20210720:01:21:27:909,-2.2689281E-4,-6.283185E-4,-8.726646E-5
20210720:01:21:27:912,-2.2689281E-4,-2.2689281E-4,-8.726646E-5
20210720:01:21:27:916,-5.410521E-4,1.7453292E-5,1.3962634E-4
