TIME,X,Y,Z
20210720:01:28:24:681,0.072199546,0.17337851,9.743539
20210720:01:28:24:681,0.08237969,0.19421764,9.753949
20210720:01:28:24:684,0.077687055,0.19177556,9.753097
20210720:01:28:24:688,0.08922711,0.18396087,9.751727
20210720:01:28:24:692,0.093469635,0.19218737,9.738914
20210720:01:28:24:696,0.07558974,0.1995232,9.747619
20210720:01:28:24:700,0.076011114,0.19595104,9.740868
20210720:01:28:24:704,0.07227616,0.19305885,9.747561
20210720:01:28:24:708,0.07164409,0.20977995,9.752541
20210720:01:28:24:712,0.07565678,0.2109579,9.746479
20210720:01:28:24:716,0.08843224,0.19929335,9.754878
20210720:01:28:24:722,0.08972511,0.18848114,9.754217
20210720:01:28:24:724,0.0842759,0.18942924,9.759159
20210720:01:28:24:728,0.07058106,0.18947713,9.755653
20210720:01:28:24:732,0.078893736,0.18036959,9.743405
20210720:01:28:24:736,0.079114,0.16991171,9.740561
20210720:01:28:24:740,0.08667011,0.18050367,9.755003
20210720:01:28:24:744,0.097951576,0.20544167,9.752455
20210720:01:28:24:748,0.081383705,0.2081902,9.762548
20210720:01:28:24:752,0.08108682,0.20860201,9.750071
20210720:01:28:24:756,0.071529165,0.20024146,9.741614
20210720:01:28:24:761,0.069920264,0.20163967,9.738568
20210720:01:28:24:765,0.07703584,0.20347841,9.743501
20210720:01:28:24:769,0.089083456,0.19762698,9.7444105
20210720:01:28:24:773,0.091956496,0.19775148,9.745406
20210720:01:28:24:777,0.08793424,0.2033635,9.742294
20210720:01:28:24:780,0.08591354,0.18982188,9.750607
20210720:01:28:24:784,0.07656658,0.20241539,9.745617
20210720:01:28:24:790,0.08102936,0.18167202,9.747552
20210720:01:28:24:793,0.09112331,0.1930876,9.737267
20210720:01:28:24:797,0.07998549,0.19246508,9.736644
20210720:01:28:24:800,0.078165896,0.18916109,9.735839
20210720:01:28:24:805,0.08644984,0.19564459,9.74714
20210720:01:28:24:809,0.092301264,0.20351672,9.759896
20210720:01:28:24:812,0.09589256,0.21314141,9.739977
20210720:01:28:24:816,0.089274995,0.19372922,9.7543125
20210720:01:28:24:820,0.09578723,0.17971836,9.767088
20210720:01:28:24:824,0.09225338,0.18139431,9.752886
20210720:01:28:24:829,0.080751635,0.19619046,9.752321
20210720:01:28:24:832,0.07869262,0.20096928,9.746978
20210720:01:28:24:836,0.079238504,0.20491493,9.750387
20210720:01:28:24:840,0.07111737,0.18686266,9.750817
20210720:01:28:24:844,0.09311529,0.19174683,9.751784
20210720:01:28:24:849,0.09262688,0.18819383,9.734699
20210720:01:28:24:853,0.10660902,0.18644127,9.756219
20210720:01:28:24:856,0.09225338,0.1968321,9.754485
20210720:01:28:24:860,0.077754095,0.20077775,9.752398
20210720:01:28:24:864,0.07743806,0.19831651,9.752101
20210720:01:28:24:868,0.082590386,0.18965909,9.754304
20210720:01:28:24:873,0.09319191,0.19256085,9.745033
20210720:01:28:24:876,0.09409212,0.19274281,9.724185
20210720:01:28:24:880,0.08682334,0.18028338,9.745062
20210720:01:28:24:884,0.087666094,0.19157445,9.760653
20210720:01:28:24:889,0.090970084,0.18658493,9.745799
20210720:01:28:24:894,0.08649772,0.20143855,9.743472
20210720:01:28:24:896,0.07731356,0.20494367,9.740417
20210720:01:28:24:900,0.10822749,0.18570386,9.769608
20210720:01:28:24:905,0.08234139,0.18306068,9.786347
20210720:01:28:24:908,0.10117896,0.19065508,9.726645
20210720:01:28:24:912,0.088642925,0.18800229,9.690474
20210720:01:28:24:916,0.096218176,0.19947532,9.759283
20210720:01:28:24:921,0.08819281,0.17865534,9.79851
20210720:01:28:24:924,0.08578903,0.1894867,9.789392
20210720:01:28:24:929,0.09326852,0.18046534,9.748863
20210720:01:28:24:933,0.09442732,0.20609288,9.737113
20210720:01:28:24:938,0.10135135,0.21295945,9.793483
20210720:01:28:24:941,0.091669194,0.20293254,9.653048
20210720:01:28:24:944,0.089677215,0.21834162,9.81886
20210720:01:28:24:948,0.10561302,0.19587444,9.764818
20210720:01:28:24:952,0.093440905,0.20635146,9.706774
20210720:01:28:24:956,0.078280814,0.19718644,9.766801
20210720:01:28:24:960,0.07748595,0.17638563,9.6727085
20210720:01:28:24:964,0.0817572,0.1895633,9.766159
20210720:01:28:24:968,0.081891276,0.19714814,9.699801
20210720:01:28:24:974,0.10381258,0.21103452,9.762607
20210720:01:28:24:978,0.08227435,0.20107463,9.738731
20210720:01:28:24:981,0.090280555,0.17620367,9.777853
20210720:01:28:24:985,0.09177454,0.19054973,9.792371
20210720:01:28:24:989,0.068062365,0.18619227,9.752475
20210720:01:28:24:992,0.082552075,0.18656579,9.763258
20210720:01:28:24:996,0.09610326,0.20447439,9.757962
20210720:01:28:25:000,0.09276095,0.20486705,9.665335
20210720:01:28:25:004,0.10187807,0.21181025,9.636222
20210720:01:28:25:008,0.095231764,0.20931068,9.756286
20210720:01:28:25:012,0.10766246,0.20850624,9.76998
20210720:01:28:25:016,0.0860093,0.17506403,9.704436
20210720:01:28:25:021,0.08753201,0.18760964,9.708957
20210720:01:28:25:024,0.07821378,0.1968321,9.886062
20210720:01:28:25:029,0.0775434,0.19466776,9.849611
20210720:01:28:25:033,0.062105592,0.18272547,9.734948
20210720:01:28:25:038,0.09027098,0.1997243,9.802177
20210720:01:28:25:041,0.0739521,0.19325039,9.833311
20210720:01:28:25:045,0.0881545,0.19590315,9.748365
20210720:01:28:25:048,0.07686345,0.21381178,9.730907
20210720:01:28:25:052,0.09478165,0.20528844,9.740044
20210720:01:28:25:056,0.072984844,0.20095971,9.69328
20210720:01:28:25:061,0.08935161,0.21525788,9.721483
20210720:01:28:25:065,0.07122271,0.19651608,9.698901
20210720:01:28:25:069,0.09165961,0.19736841,9.750597
20210720:01:28:25:073,0.10787316,0.20455101,9.7020035
20210720:01:28:25:077,0.06880936,0.1828787,9.801383
20210720:01:28:25:080,0.06790914,0.18414284,9.820508
20210720:01:28:25:084,0.07343495,0.18621142,9.844019
20210720:01:28:25:089,0.099062495,0.17860745,9.821361
20210720:01:28:25:092,0.08317457,0.18821298,9.7834835
20210720:01:28:25:096,0.0912957,0.20544167,9.743663
20210720:01:28:25:100,0.08556877,0.2107089,9.681069
20210720:01:28:25:105,0.08020575,0.22344606,9.66545
20210720:01:28:25:108,0.09159258,0.22395363,9.608276
20210720:01:28:25:112,0.0972429,0.2246623,9.659272
20210720:01:28:25:116,0.09663956,0.20051917,9.683233
20210720:01:28:25:122,0.08037814,0.17807116,9.751248
20210720:01:28:25:125,0.09105628,0.1752843,9.822462
20210720:01:28:25:152,0.07921935,0.16460615,9.869503
20210720:01:28:25:154,0.07293696,0.16279614,9.862722
20210720:01:28:25:154,0.059931654,0.17404889,9.8507805
20210720:01:28:25:155,0.08262869,0.20534588,9.780104
20210720:01:28:25:155,0.06933608,0.20808485,9.704821
20210720:01:28:25:156,0.09057744,0.20171627,9.653938
20210720:01:28:25:156,0.0956723,0.23638432,9.610537
20210720:01:28:25:160,0.09073067,0.2247102,9.641307
20210720:01:28:25:160,0.09854534,0.20349757,9.661849
20210720:01:28:25:164,0.073396645,0.17968005,9.746287
20210720:01:28:25:172,0.08196789,0.16970102,9.785935
20210720:01:28:25:172,0.06960423,0.16915514,9.855578
20210720:01:28:25:177,0.06284301,0.16627252,9.884347
20210720:01:28:25:180,0.05985504,0.16794845,9.857676
20210720:01:28:25:184,0.06633854,0.1786266,9.841912
20210720:01:28:25:207,0.06593632,0.18846197,9.794718
20210720:01:28:25:208,0.08046433,0.21875341,9.734508
20210720:01:28:25:208,0.08282023,0.21487482,9.69418
20210720:01:28:25:208,0.0875799,0.21600488,9.675715
20210720:01:28:25:209,0.07975565,0.2014194,9.674729
20210720:01:28:25:209,0.09155428,0.2055949,9.69352
20210720:01:28:25:212,0.089744255,0.19947532,9.7215605
20210720:01:28:25:216,0.0865456,0.18388426,9.747054
20210720:01:28:25:220,0.073463686,0.19175641,9.737142
20210720:01:28:25:224,0.079018235,0.20131406,9.746958
20210720:01:28:25:228,0.08783847,0.19255129,9.71841
20210720:01:28:25:232,0.08918881,0.20566192,9.758067
20210720:01:28:25:238,0.10929052,0.20042342,9.741193
20210720:01:28:25:240,0.10626425,0.18573259,9.76206
20210720:01:28:25:244,0.083720446,0.19377711,9.74487
20210720:01:28:25:248,0.08803,0.17842549,9.764962
20210720:01:28:25:252,0.07695922,0.19106688,9.758
20210720:01:28:25:256,0.068818934,0.19270451,9.764704
20210720:01:28:25:260,0.09389102,0.20739533,9.732027
20210720:01:28:25:264,0.079516225,0.19936039,9.732353
20210720:01:28:25:268,0.07880754,0.1937388,9.716867
20210720:01:28:25:272,0.09119035,0.18773414,9.731147
20210720:01:28:25:276,0.086018875,0.20066282,9.718142
20210720:01:28:25:280,0.08086655,0.20504901,9.753585
20210720:01:28:25:284,0.07278373,0.17876068,9.726789
20210720:01:28:25:288,0.08829816,0.19102857,9.776052
20210720:01:28:25:292,0.07176859,0.1740393,9.752819
20210720:01:28:25:296,0.101360925,0.18435353,9.7616205
20210720:01:28:25:300,0.074114904,0.1761845,9.758833
20210720:01:28:25:304,0.09414001,0.18355866,9.742083
20210720:01:28:25:308,0.07534073,0.19129673,9.742131
20210720:01:28:25:312,0.088259846,0.19553925,9.729652
20210720:01:28:25:316,0.09443689,0.19780895,9.755932
20210720:01:28:25:321,0.08130709,0.20245369,9.743222
20210720:01:28:25:324,0.0889398,0.206045,9.77746
20210720:01:28:25:328,0.08347145,0.20277931,9.769137
20210720:01:28:25:332,0.10519164,0.20640892,9.777096
20210720:01:28:25:338,0.07488105,0.20203231,9.776484
20210720:01:28:25:340,0.08919838,0.20687817,9.758699
20210720:01:28:25:345,0.08303092,0.20107463,9.745157
20210720:01:28:25:348,0.081536934,0.20152475,9.727909
20210720:01:28:25:354,0.086622216,0.18995596,9.751679
20210720:01:28:25:356,0.06968085,0.19509871,9.752541
20210720:01:28:25:360,0.08870996,0.19112433,9.774281
20210720:01:28:25:364,0.07899908,0.19226398,9.751784
20210720:01:28:25:368,0.0864211,0.19496463,9.753567
20210720:01:28:25:372,0.08721598,0.18971653,9.756065
20210720:01:28:25:376,0.08338525,0.18687224,9.753326
20210720:01:28:25:380,0.07092583,0.21024922,9.751516
20210720:01:28:25:384,0.08305007,0.20802741,9.747896
20210720:01:28:25:388,0.089744255,0.19182344,9.751124
20210720:01:28:25:392,0.10084377,0.19080831,9.754533
20210720:01:28:25:396,0.09147766,0.19709069,9.747398
20210720:01:28:25:400,0.08136455,0.20077775,9.753594
20210720:01:28:25:405,0.091764964,0.19290562,9.749305
20210720:01:28:25:408,0.082485035,0.17174087,9.753106
20210720:01:28:25:412,0.078912884,0.19068381,9.754227
20210720:01:28:25:416,0.0764325,0.19404526,9.752704
20210720:01:28:25:421,0.07571423,0.20283677,9.756123
20210720:01:28:25:439,0.089169644,0.19362389,9.747437
20210720:01:28:25:440,0.087350056,0.193327,9.750032
20210720:01:28:25:440,0.092837565,0.18926643,9.755213
20210720:01:28:25:440,0.07930554,0.19233102,9.748221
20210720:01:28:25:443,0.08897811,0.20402429,9.759762
20210720:01:28:25:444,0.078730926,0.1923789,9.750137
