TIME,X,Y,Z
20210720:05:41:50:946,-1.7453292E-4,-4.1887903E-4,-1.2217305E-4
20210720:05:41:50:948,6.1086525E-4,4.1887903E-4,-3.8397242E-4
20210720:05:41:50:952,-9.5993106E-4,3.8397242E-4,1.2217305E-4
20210720:05:41:50:956,-8.726646E-5,5.5850536E-4,0.0011693706
20210720:05:41:50:961,0.0,8.726646E-5,4.5378561E-4
20210720:05:41:50:964,3.6651915E-4,8.2030473E-4,1.3962634E-4
20210720:05:41:50:968,-2.2689281E-4,8.901179E-4,2.2689281E-4
20210720:05:41:50:972,4.0142573E-4,-1.0471976E-4,2.2689281E-4
20210720:05:41:50:977,2.6179937E-4,-5.7595863E-4,-8.2030473E-4
20210720:05:41:50:980,-8.2030473E-4,-3.4906584E-4,-1.9198621E-4
20210720:05:41:50:984,-0.001134464,-4.363323E-4,1.5707963E-4
20210720:05:41:50:989,-2.9670598E-4,1.0471976E-4,-2.0943952E-4
20210720:05:41:50:993,-6.1086525E-4,-5.410521E-4,1.5707963E-4
20210720:05:41:50:996,8.726646E-5,-3.3161257E-4,2.2689281E-4
20210720:05:41:51:001,4.5378561E-4,-3.1415926E-4,-1.9198621E-4
20210720:05:41:51:004,2.6179937E-4,4.363323E-4,-4.5378561E-4
20210720:05:41:51:009,3.6651915E-4,6.981317E-4,-5.5850536E-4
20210720:05:41:51:013,3.8397242E-4,2.9670598E-4,1.0471976E-4
20210720:05:41:51:016,-5.235988E-5,2.2689281E-4,-2.0943952E-4
20210720:05:41:51:021,0.0,-8.726646E-5,-2.7925268E-4
20210720:05:41:51:024,-2.443461E-4,-3.8397242E-4,-5.9341197E-4
20210720:05:41:51:028,-7.853982E-4,4.363323E-4,-4.5378561E-4
20210720:05:41:51:032,-3.6651915E-4,-2.2689281E-4,1.2217305E-4
20210720:05:41:51:037,1.2217305E-4,-5.410521E-4,-4.0142573E-4
20210720:05:41:51:041,1.7453292E-5,-3.3161257E-4,-5.5850536E-4
20210720:05:41:51:044,1.9198621E-4,8.726646E-4,1.0471976E-4
20210720:05:41:51:049,3.4906585E-5,4.5378561E-4,-2.0943952E-4
20210720:05:41:51:053,-4.1887903E-4,-3.6651915E-4,-1.3962634E-4
20210720:05:41:51:057,-7.5049157E-4,-0.0016406095,-2.6179937E-4
20210720:05:41:51:061,-3.6651915E-4,-3.3161257E-4,1.7453292E-5
20210720:05:41:51:065,2.6179937E-4,1.2217305E-4,-1.0471976E-4
20210720:05:41:51:069,6.806784E-4,1.9198621E-4,-3.8397242E-4
20210720:05:41:51:073,2.443461E-4,2.0943952E-4,1.2217305E-4
20210720:05:41:51:076,2.2689281E-4,2.0943952E-4,-8.726646E-5
20210720:05:41:51:081,-3.8397242E-4,5.2359875E-4,5.235988E-5
20210720:05:41:51:085,-0.0013788101,4.0142573E-4,-2.2689281E-4
20210720:05:41:51:090,-5.9341197E-4,6.981317E-4,1.5707963E-4
20210720:05:41:51:092,2.0943952E-4,-7.6794485E-4,2.2689281E-4
20210720:05:41:51:096,-0.0011519173,-8.2030473E-4,-9.5993106E-4
20210720:05:41:51:101,3.1415926E-4,-6.457718E-4,-5.2359875E-4
20210720:05:41:51:106,-5.235988E-5,6.981317E-5,-6.283185E-4
20210720:05:41:51:108,3.1415926E-4,1.9198621E-4,-1.7453292E-5
20210720:05:41:51:112,3.6651915E-4,-2.0943952E-4,1.9198621E-4
20210720:05:41:51:117,6.981317E-5,-2.7925268E-4,-2.0943952E-4
20210720:05:41:51:121,-2.2689281E-4,-2.9670598E-4,1.5707963E-4
20210720:05:41:51:125,-0.0013439035,4.363323E-4,2.2689281E-4
20210720:05:41:51:130,-7.853982E-4,0.001012291,-6.981317E-5
20210720:05:41:51:132,-9.948377E-4,6.1086525E-4,-3.6651915E-4
20210720:05:41:51:136,-5.410521E-4,-1.7453292E-5,1.2217305E-4
20210720:05:41:51:141,6.6322513E-4,-3.8397242E-4,3.4906585E-5
20210720:05:41:51:144,4.363323E-4,1.2217305E-4,-8.0285146E-4
20210720:05:41:51:148,0.0011519173,1.9198621E-4,-3.6651915E-4
20210720:05:41:51:152,6.457718E-4,6.6322513E-4,0.0
20210720:05:41:51:157,4.1887903E-4,-8.901179E-4,1.9198621E-4
20210720:05:41:51:160,-4.886922E-4,-8.726646E-5,9.948377E-4
20210720:05:41:51:164,2.2689281E-4,8.0285146E-4,4.886922E-4
20210720:05:41:51:168,3.4906585E-5,0.001012291,2.7925268E-4
20210720:05:41:51:173,-0.0011170107,3.4906584E-4,2.443461E-4
20210720:05:41:51:177,-9.250245E-4,-5.235988E-5,-5.061455E-4
20210720:05:41:51:181,-8.3775807E-4,-6.981317E-4,0.0
20210720:05:41:51:184,-0.001134464,-5.235988E-5,1.9198621E-4
20210720:05:41:51:190,0.0,1.7453292E-4,2.2689281E-4
20210720:05:41:51:193,-1.0471976E-4,3.3161257E-4,-6.981317E-5
20210720:05:41:51:197,2.9670598E-4,1.0471976E-4,3.6651915E-4
20210720:05:41:51:202,-3.6651915E-4,-1.0471976E-4,3.8397242E-4
20210720:05:41:51:206,-2.9670598E-4,-4.0142573E-4,2.6179937E-4
20210720:05:41:51:210,5.7595863E-4,1.0471976E-4,2.443461E-4
20210720:05:41:51:213,3.4906584E-4,1.9198621E-4,-8.2030473E-4
20210720:05:41:51:217,0.0,2.0943952E-4,4.363323E-4
20210720:05:41:51:221,4.5378561E-4,-8.3775807E-4,5.2359875E-4
20210720:05:41:51:225,6.981317E-5,-6.457718E-4,2.7925268E-4
20210720:05:41:51:229,2.0943952E-4,6.981317E-5,2.443461E-4
20210720:05:41:51:232,3.4906585E-5,1.9198621E-4,2.2689281E-4
20210720:05:41:51:237,-4.1887903E-4,2.0943952E-4,-6.457718E-4
20210720:05:41:51:241,-4.363323E-4,-2.0943952E-4,8.726646E-5
20210720:05:41:51:244,2.443461E-4,-5.9341197E-4,2.0943952E-4
20210720:05:41:51:249,3.6651915E-4,-4.712389E-4,2.2689281E-4
20210720:05:41:51:253,3.8397242E-4,1.0471976E-4,-6.981317E-5
