TIME,X,Y,Z
20210720:14:11:13:530,0.059290014,0.21840866,9.74555
20210720:14:11:13:530,0.05926128,0.21521957,9.728963
20210720:14:11:13:532,0.0628047,0.21536323,9.739891
20210720:14:11:13:536,0.0642508,0.19909224,9.743501
20210720:14:11:13:540,0.07488105,0.19684169,9.750645
20210720:14:11:13:545,0.0773806,0.21034499,9.745436
20210720:14:11:13:549,0.05865794,0.20738576,9.735197
20210720:14:11:13:553,0.078548975,0.19569248,9.74737
20210720:14:11:13:556,0.06716215,0.21612938,9.758297
20210720:14:11:13:562,0.06217263,0.21292114,9.748174
20210720:14:11:13:564,0.07676768,0.21579419,9.742227
20210720:14:11:13:568,0.07562804,0.21097705,9.739776
20210720:14:11:13:572,0.056943696,0.20750067,9.751009
20210720:14:11:13:577,0.057029884,0.2112835,9.748012
20210720:14:11:13:580,0.07242939,0.21448216,9.7514305
20210720:14:11:13:584,0.08489839,0.21339998,9.749208
20210720:14:11:13:588,0.07620265,0.20537461,9.73718
20210720:14:11:13:592,0.07573339,0.21325633,9.744362
20210720:14:11:13:597,0.06902962,0.2007203,9.74464
20210720:14:11:13:601,0.07433517,0.21286368,9.757598
20210720:14:11:13:605,0.07613561,0.23087765,9.746078
20210720:14:11:13:609,0.05818868,0.21614853,9.752886
20210720:14:11:13:613,0.066482194,0.21272962,9.752483
20210720:14:11:13:617,0.06461471,0.20820935,9.754006
20210720:14:11:13:621,0.05850471,0.20203231,9.7457905
20210720:14:11:13:624,0.074028715,0.21475032,9.750933
20210720:14:11:13:629,0.06306327,0.2046372,9.752561
20210720:14:11:13:633,0.07644207,0.19778979,9.753097
20210720:14:11:13:636,0.0634655,0.20128532,9.74781
20210720:14:11:13:640,0.061253257,0.20804656,9.759159
20210720:14:11:13:645,0.06830179,0.20447439,9.743731
20210720:14:11:13:649,0.08433336,0.2092628,9.746182
20210720:14:11:13:652,0.07167282,0.21143673,9.740072
20210720:14:11:13:656,0.06963296,0.20623654,9.741892
20210720:14:11:13:662,0.07060979,0.18912278,9.735131
20210720:14:11:13:665,0.080655865,0.18772456,9.751947
20210720:14:11:13:670,0.07439263,0.21188685,9.732794
20210720:14:11:13:673,0.07107906,0.19996373,9.727546
20210720:14:11:13:678,0.07946835,0.20827639,9.73491
20210720:14:11:13:681,0.07916189,0.21641669,9.739708
20210720:14:11:13:685,0.057183113,0.20731871,9.737985
20210720:14:11:13:688,0.06427953,0.20273143,9.740196
20210720:14:11:13:694,0.073004,0.19296308,9.749668
20210720:14:11:13:697,0.070178844,0.18813637,9.749994
20210720:14:11:13:700,0.08462067,0.19042523,9.748299
20210720:14:11:13:704,0.07401914,0.19321208,9.764282
20210720:14:11:13:708,0.06618531,0.20212808,9.75482
20210720:14:11:13:713,0.059692238,0.21672314,9.739995
20210720:14:11:13:716,0.07006392,0.2127775,9.7412405
20210720:14:11:13:720,0.06747818,0.19653523,9.738607
20210720:14:11:13:724,0.0849367,0.20741448,9.751134
