TIME,X,Y,Z
20210720:01:20:43:362,0.07807013,0.18912278,9.762827
20210720:01:20:43:362,0.09024225,0.19148825,9.757167
20210720:01:20:43:365,0.08866208,0.20030849,9.739498
20210720:01:20:43:368,0.0989763,0.19360472,9.74805
20210720:01:20:43:372,0.09229169,0.18667111,9.757176
20210720:01:20:43:377,0.08445786,0.18266802,9.748346
20210720:01:20:43:381,0.07309977,0.18585709,9.740196
20210720:01:20:43:384,0.062479086,0.19331743,9.742955
20210720:01:20:43:388,0.066290654,0.19060719,9.742179
20210720:01:20:43:392,0.082743615,0.19511786,9.747446
20210720:01:20:43:396,0.079525806,0.18833748,9.743127
20210720:01:20:43:400,0.078165896,0.18757133,9.754993
20210720:01:20:43:404,0.073712684,0.1885386,9.748749
20210720:01:20:43:408,0.09049125,0.18359697,9.744515
20210720:01:20:43:413,0.08871954,0.1879161,9.740599
20210720:01:20:43:416,0.07695922,0.19891028,9.751727
20210720:01:20:43:420,0.08020575,0.18779162,9.744794
20210720:01:20:43:424,0.09487743,0.21122605,9.740809
20210720:01:20:43:428,0.09780793,0.19816329,9.732095
20210720:01:20:43:432,0.08646899,0.19720562,9.746767
20210720:01:20:43:436,0.07405745,0.20434034,9.755021
20210720:01:20:43:440,0.07894162,0.21898326,9.757636
20210720:01:20:43:444,0.10179188,0.20875524,9.750023
20210720:01:20:43:448,0.10724108,0.19484013,9.750483
20210720:01:20:43:452,0.0992253,0.20669623,9.736528
20210720:01:20:43:456,0.08921753,0.20588219,9.748796
20210720:01:20:43:460,0.07694965,0.20307618,9.753517
20210720:01:20:43:465,0.08835562,0.20515436,9.746528
20210720:01:20:43:469,0.089083456,0.20006907,9.750827
20210720:01:20:43:472,0.081192166,0.20435949,9.751478
20210720:01:20:43:476,0.090481676,0.19730137,9.747869
20210720:01:20:43:481,0.09471462,0.19849847,9.745531
20210720:01:20:43:484,0.086871214,0.2019174,9.756411
20210720:01:20:43:488,0.08627745,0.19441876,9.751057
20210720:01:20:43:492,0.07893205,0.19703321,9.742294
20210720:01:20:43:497,0.060563724,0.1917085,9.749467
20210720:01:20:43:501,0.08045476,0.2090138,9.75597
20210720:01:20:43:504,0.093335554,0.21333295,9.748796
20210720:01:20:43:508,0.09125739,0.2064568,9.754916
20210720:01:20:43:513,0.07896077,0.20602585,9.748595
20210720:01:20:43:516,0.082667,0.19040607,9.75053
20210720:01:20:43:520,0.08590395,0.18716912,9.743482
20210720:01:20:43:524,0.0844004,0.19100942,9.743222
