TIME,X,Y,Z
20210720:00:51:09:988,0.086172104,0.19706196,9.747561
20210720:00:51:09:988,0.08881531,0.18303193,9.741031
20210720:00:51:09:992,0.08585607,0.19821116,9.748078
20210720:00:51:10:000,0.09557653,0.18980274,9.755989
20210720:00:51:10:001,0.067430295,0.21158996,9.760404
20210720:00:51:10:004,0.07464163,0.20289423,9.747016
20210720:00:51:10:008,0.072324045,0.19858468,9.745703
20210720:00:51:10:012,0.08041645,0.19875705,9.743721
20210720:00:51:10:016,0.07764875,0.20741448,9.744095
20210720:00:51:10:020,0.064432755,0.19478267,9.733282
20210720:00:51:10:024,0.069738306,0.19298224,9.747907
20210720:00:51:10:028,0.08192958,0.18591455,9.74283
20210720:00:51:10:033,0.094264515,0.19505082,9.746182
20210720:00:51:10:036,0.08218816,0.21337126,9.755807
20210720:00:51:10:041,0.086583905,0.20491493,9.751047
20210720:00:51:10:044,0.09412086,0.20096928,9.741556
20210720:00:51:10:049,0.09269392,0.18526332,9.738961
20210720:00:51:10:052,0.0845632,0.1922544,9.740389
20210720:00:51:10:056,0.07340623,0.17934486,9.757311
20210720:00:51:10:060,0.07902781,0.17533219,9.753892
20210720:00:51:10:064,0.08945695,0.19419849,9.747408
20210720:00:51:10:068,0.07548439,0.20275058,9.755663
20210720:00:51:10:072,0.09109459,0.19656396,9.761754
20210720:00:51:10:076,0.10086293,0.20042342,9.75733
20210720:00:51:10:083,0.09681194,0.21566011,9.756046
20210720:00:51:10:084,0.09198523,0.20634188,9.76908
20210720:00:51:10:088,0.07294654,0.21034499,9.743252
20210720:00:51:10:092,0.08344272,0.1967555,9.745436
20210720:00:51:10:096,0.08285853,0.18993682,9.759389
20210720:00:51:10:100,0.08209238,0.21304564,9.757176
20210720:00:51:10:104,0.07865431,0.2101343,9.740273
20210720:00:51:10:108,0.07985142,0.18877801,9.739584
20210720:00:51:10:112,0.07996634,0.18756177,9.749409
20210720:00:51:10:117,0.08606677,0.19372922,9.7514305
20210720:00:51:10:121,0.09007944,0.19235975,9.746881
20210720:00:51:10:124,0.08200619,0.18907489,9.755385
20210720:00:51:10:128,0.07543651,0.20140982,9.745406
20210720:00:51:10:133,0.07671022,0.1917085,9.742361
20210720:00:51:10:137,0.07997591,0.19090407,9.745904
20210720:00:51:10:140,0.06517018,0.19956149,9.744391
20210720:00:51:10:144,0.094197474,0.20122786,9.734422
20210720:00:51:10:148,0.09960837,0.2037753,9.741078
20210720:00:51:10:153,0.09832507,0.20015526,9.755366
20210720:00:51:10:156,0.09786539,0.19422722,9.751718
20210720:00:51:10:160,0.10990343,0.18902701,9.754629
20210720:00:51:10:164,0.08419929,0.18056111,9.750855
20210720:00:51:10:169,0.07938215,0.19732052,9.748855
20210720:00:51:10:172,0.086401954,0.19780895,9.74419
20210720:00:51:10:176,0.09664913,0.18699673,9.747523
20210720:00:51:10:181,0.09812396,0.19092321,9.740484
20210720:00:51:10:185,0.07625053,0.19614258,9.7417
20210720:00:51:10:189,0.09004114,0.195884,9.743098
20210720:00:51:10:192,0.08391198,0.19464861,9.755902
20210720:00:51:10:197,0.08664137,0.19829737,9.746048
20210720:00:51:10:200,0.091065854,0.20033722,9.749888
20210720:00:51:10:204,0.074823596,0.20091183,9.746163
20210720:00:51:10:208,0.08954314,0.19374838,9.749678
20210720:00:51:10:213,0.07474698,0.18026423,9.746777
20210720:00:51:10:218,0.079267226,0.19911139,9.756324
20210720:00:51:10:220,0.074823596,0.20933941,9.736912
20210720:00:51:10:225,0.0912957,0.2050107,9.741269
20210720:00:51:10:228,0.09175538,0.20001161,9.76276
20210720:00:51:10:232,0.07773494,0.19825906,9.771781
20210720:00:51:10:236,0.07986099,0.18460253,9.764388
20210720:00:51:10:240,0.096304365,0.1934132,9.731874
20210720:00:51:10:245,0.11176134,0.20730914,9.742734
20210720:00:51:10:248,0.099598795,0.19322164,9.767577
20210720:00:51:10:252,0.08323202,0.19447622,9.769137
20210720:00:51:10:256,0.0898496,0.19040607,9.738406
20210720:00:51:10:260,0.09163089,0.19620004,9.734767
20210720:00:51:10:264,0.07380845,0.202741,9.758757
20210720:00:51:10:268,0.08803,0.20619823,9.765748
20210720:00:51:10:272,0.102567606,0.19426553,9.730535
20210720:00:51:10:277,0.08290642,0.19912097,9.734019
20210720:00:51:10:281,0.07988972,0.1875426,9.749754
20210720:00:51:10:284,0.08316499,0.19809625,9.771484
20210720:00:51:10:288,0.077256106,0.21697214,9.750109
20210720:00:51:10:292,0.092713065,0.19731094,9.704992
20210720:00:51:10:297,0.102241985,0.19753122,9.735658
20210720:00:51:10:301,0.08000465,0.19924547,9.77903
20210720:00:51:10:305,0.07795521,0.17961301,9.783283
20210720:00:51:10:308,0.09123824,0.19213948,9.732497
20210720:00:51:10:313,0.10018297,0.1959702,9.683378
20210720:00:51:10:316,0.090816855,0.17688362,9.722298
20210720:00:51:10:320,0.073176384,0.18894082,9.791002
20210720:00:51:10:324,0.068502896,0.16713443,9.82045
20210720:00:51:10:328,0.08834605,0.1798237,9.758124
20210720:00:51:10:333,0.10112151,0.21174319,9.660231
20210720:00:51:10:337,0.08433336,0.21221246,9.690234
20210720:00:51:10:340,0.084697284,0.19592232,9.802062
20210720:00:51:10:345,0.085798614,0.16681841,9.817894
20210720:00:51:10:349,0.08196789,0.1787511,9.759341
20210720:00:51:10:353,0.07924808,0.20386147,9.683033
20210720:00:51:10:356,0.092464074,0.22449951,9.697906
20210720:00:51:10:360,0.0871681,0.2070314,9.725687
20210720:00:51:10:365,0.07782113,0.18364485,9.751421
20210720:00:51:10:368,0.08056968,0.17097473,9.785667
20210720:00:51:10:372,0.075254545,0.18458338,9.816888
20210720:00:51:10:376,0.087273434,0.19674593,9.738224
20210720:00:51:10:381,0.10844776,0.2010938,9.646612
20210720:00:51:10:384,0.08962934,0.2234652,9.701402
20210720:00:51:10:388,0.09307699,0.20071073,9.803547
20210720:00:51:10:393,0.06965212,0.18397047,9.83519
