TIME,X,Y,Z
20210720:06:21:41:867,-8.726646E-5,-0.0011170107,-2.443461E-4
20210720:06:21:41:868,2.6179937E-4,-5.7595863E-4,1.3962634E-4
20210720:06:21:41:873,3.3161257E-4,-8.0285146E-4,5.2359875E-4
20210720:06:21:41:876,3.3161257E-4,-5.2359875E-4,4.0142573E-4
20210720:06:21:41:881,-0.0013613568,-5.410521E-4,-1.7453292E-4
20210720:06:21:41:884,1.7453292E-4,-1.7453292E-4,-2.7925268E-4
20210720:06:21:41:888,0.0015184365,1.3962634E-4,-1.5707963E-4
20210720:06:21:41:892,0.0031415927,3.1415926E-4,-4.0142573E-4
20210720:06:21:41:898,6.806784E-4,-7.853982E-4,-3.1415926E-4
20210720:06:21:41:900,5.2359875E-4,3.4906585E-5,1.2217305E-4
20210720:06:21:41:904,-2.443461E-4,1.7453292E-4,2.0943952E-4
20210720:06:21:41:908,-7.6794485E-4,-5.410521E-4,-8.726646E-5
20210720:06:21:41:912,-0.0010297443,-3.4906585E-5,3.4906585E-5
20210720:06:21:41:916,-0.0013439035,1.5707963E-4,1.9198621E-4
20210720:06:21:41:920,-5.235988E-5,3.8397242E-4,2.0943952E-4
20210720:06:21:41:924,-3.4906585E-5,0.0012391837,-2.0943952E-4
20210720:06:21:41:929,1.3962634E-4,5.061455E-4,1.3962634E-4
20210720:06:21:41:933,-1.2217305E-4,-3.6651915E-4,2.0943952E-4
20210720:06:21:41:937,2.6179937E-4,2.9670598E-4,2.0943952E-4
20210720:06:21:41:941,3.3161257E-4,8.726646E-5,2.0943952E-4
20210720:06:21:41:944,3.3161257E-4,0.0013788101,2.2689281E-4
20210720:06:21:41:949,3.3161257E-4,6.457718E-4,-8.726646E-5
20210720:06:21:41:953,-4.0142573E-4,-4.712389E-4,3.4906585E-5
20210720:06:21:41:957,8.726646E-5,0.0010297443,-1.0471976E-4
20210720:06:21:41:961,2.9670598E-4,5.9341197E-4,-4.0142573E-4
20210720:06:21:41:966,-5.9341197E-4,-3.4906585E-5,-9.424778E-4
20210720:06:21:41:970,-1.9198621E-4,3.4906585E-5,-2.0943952E-4
20210720:06:21:41:973,2.443461E-4,-2.6179937E-4,1.3962634E-4
20210720:06:21:41:977,3.1415926E-4,-3.1415926E-4,5.2359875E-4
20210720:06:21:41:983,4.712389E-4,-1.9198621E-4,4.0142573E-4
20210720:06:21:41:985,-1.9198621E-4,0.0,-5.235988E-5
20210720:06:21:42:012,2.443461E-4,1.7453292E-4,3.4906585E-5
20210720:06:21:42:013,-2.9670598E-4,1.9198621E-4,1.9198621E-4
20210720:06:21:42:013,-4.5378561E-4,6.457718E-4,2.0943952E-4
20210720:06:21:42:014,2.0943952E-4,2.7925268E-4,2.0943952E-4
20210720:06:21:42:014,0.0,-8.726646E-5,2.2689281E-4
20210720:06:21:42:015,-7.15585E-4,-0.0010297443,-2.0943952E-4
20210720:06:21:42:015,1.5707963E-4,-8.726646E-4,1.3962634E-4
20210720:06:21:42:019,-3.1415926E-4,-0.001553343,2.0943952E-4
20210720:06:21:42:021,-7.6794485E-4,-6.981317E-5,-8.726646E-5
