TIME,X,Y,Z
20210720:03:56:11:859,0.07439263,0.18348204,9.752417
20210720:03:56:11:860,0.074430935,0.17664419,9.75325
20210720:03:56:11:864,0.07241023,0.19487844,9.750903
20210720:03:56:11:869,0.08714894,0.1866424,9.765058
20210720:03:56:11:872,0.08567411,0.19628625,9.75867
20210720:03:56:11:876,0.08147947,0.20120871,9.74533
20210720:03:56:11:880,0.07760087,0.19487844,9.752196
20210720:03:56:11:885,0.07587704,0.21206881,9.747494
20210720:03:56:11:888,0.08888235,0.19849847,9.751478
20210720:03:56:11:892,0.07148129,0.22074538,9.753815
20210720:03:56:11:896,0.063800685,0.21246146,9.756823
20210720:03:56:11:900,0.07685387,0.19762698,9.755414
20210720:03:56:11:904,0.081441164,0.19492634,9.740895
20210720:03:56:11:908,0.07033207,0.19058803,9.747398
20210720:03:56:11:912,0.08234139,0.20697396,9.748384
20210720:03:56:11:916,0.08433336,0.20406261,9.770987
20210720:03:56:11:920,0.08007168,0.18398961,9.759303
20210720:03:56:11:924,0.074689515,0.19187132,9.7485
20210720:03:56:11:928,0.07436391,0.18261056,9.749802
20210720:03:56:11:933,0.08389283,0.18483236,9.752905
20210720:03:56:11:937,0.08538681,0.18679562,9.744095
20210720:03:56:11:941,0.099752024,0.19244593,9.754849
20210720:03:56:11:944,0.09067321,0.19382499,9.744545
20210720:03:56:11:948,0.084955856,0.18986976,9.755539
20210720:03:56:11:952,0.0884035,0.2033635,9.748327
20210720:03:56:11:956,0.07871178,0.19196709,9.74782
20210720:03:56:11:960,0.08329906,0.18135598,9.760299
20210720:03:56:11:964,0.09029971,0.19168936,9.75756
20210720:03:56:11:969,0.06940312,0.20062453,9.756784
20210720:03:56:11:972,0.08357679,0.19119138,9.757512
20210720:03:56:11:976,0.08699571,0.20750067,9.759312
20210720:03:56:11:980,0.079774804,0.19210117,9.75234
20210720:03:56:11:985,0.068560354,0.19392076,9.747188
20210720:03:56:11:988,0.07338707,0.20664833,9.740982
20210720:03:56:11:992,0.079085276,0.20020314,9.736606
20210720:03:56:11:996,0.08672756,0.20093098,9.756382
20210720:03:56:12:001,0.08483135,0.19898689,9.75437
20210720:03:56:12:005,0.087848045,0.20405303,9.756199
20210720:03:56:12:009,0.07472782,0.19778979,9.753671
20210720:03:56:12:012,0.06621404,0.18375976,9.741594
20210720:03:56:12:016,0.072927386,0.1853591,9.749343
20210720:03:56:12:021,0.058571752,0.1844493,9.750291
20210720:03:56:12:024,0.07164409,0.20475213,9.746623
20210720:03:56:12:028,0.0782042,0.19704281,9.746517
20210720:03:56:12:032,0.07842447,0.19434215,9.742926
20210720:03:56:12:036,0.07957368,0.18603905,9.742179
20210720:03:56:12:040,0.08120175,0.18324262,9.746862
20210720:03:56:12:044,0.06906793,0.19158402,9.753068
20210720:03:56:12:048,0.08405563,0.20163967,9.760088
20210720:03:56:12:052,0.08489839,0.20918618,9.742188
20210720:03:56:12:056,0.09289502,0.19323123,9.743635
20210720:03:56:12:060,0.07405745,0.1943613,9.748606
20210720:03:56:12:065,0.07789774,0.18460253,9.748873
20210720:03:56:12:070,0.08234139,0.18150921,9.742571
20210720:03:56:12:072,0.08257123,0.20923407,9.734834
20210720:03:56:12:076,0.082609534,0.20490536,9.741461
20210720:03:56:12:080,0.09345048,0.18642212,9.742792
20210720:03:56:12:085,0.0851857,0.20211852,9.74624
20210720:03:56:12:088,0.07626011,0.20291337,9.732009
20210720:03:56:12:092,0.09111374,0.2162443,9.750435
20210720:03:56:12:096,0.07729441,0.19696619,9.77202
20210720:03:56:12:102,0.08857589,0.19601808,9.76797
20210720:03:56:12:104,0.06714299,0.18581879,9.786069
20210720:03:56:12:108,0.06442318,0.18179652,9.771839
20210720:03:56:12:112,0.100412816,0.21552603,9.702483
20210720:03:56:12:116,0.099752024,0.20760602,9.755816
20210720:03:56:12:120,0.053821657,0.19505082,9.79263
20210720:03:56:12:124,0.06710468,0.19709069,9.762932
20210720:03:56:12:128,0.09569145,0.19496463,9.686787
20210720:03:56:12:132,0.106091864,0.2080657,9.797571
20210720:03:56:12:136,0.04803726,0.17789876,9.812626
20210720:03:56:12:140,0.07916189,0.19058803,9.709216
20210720:03:56:12:144,0.12596373,0.2007586,9.715709
20210720:03:56:12:148,0.07569508,0.19860382,9.741451
20210720:03:56:12:153,0.05641697,0.18342458,9.791231
20210720:03:56:12:157,0.099809475,0.18893124,9.67293
20210720:03:56:12:160,0.11425131,0.2056332,9.736346
20210720:03:56:12:164,0.05616797,0.19652565,9.788224
20210720:03:56:12:169,0.06874232,0.18839495,9.763545
20210720:03:56:12:172,0.11672212,0.20242497,9.726809
20210720:03:56:12:176,0.073549874,0.20461805,9.783369
20210720:03:56:12:181,0.05274905,0.1851484,9.826609
20210720:03:56:12:186,0.08358637,0.18390343,9.705845
20210720:03:56:12:188,0.08769482,0.21221246,9.7735815
20210720:03:56:12:192,0.049674895,0.16836984,9.848367
20210720:03:56:12:197,0.08728302,0.18568471,9.713488
20210720:03:56:12:201,0.109185174,0.20809443,9.787641
20210720:03:56:12:204,0.055622093,0.16723019,9.807292
20210720:03:56:12:208,0.082140274,0.180111,9.711294
20210720:03:56:12:212,0.11647312,0.20512563,9.758546
20210720:03:56:12:216,0.046074018,0.17646223,9.800933
20210720:03:56:12:221,0.080090836,0.17634732,9.736912
20210720:03:56:12:224,0.11031524,0.20003076,9.778638
20210720:03:56:12:228,0.06870401,0.1735126,9.791911
20210720:03:56:12:232,0.054415416,0.18382682,9.737295
20210720:03:56:12:237,0.09436028,0.196631,9.780199
20210720:03:56:12:240,0.06791872,0.17149188,9.787842
20210720:03:56:12:244,0.06852205,0.18138471,9.747829
20210720:03:56:12:249,0.104109466,0.21498017,9.776647
20210720:03:56:12:254,0.075570576,0.19576909,9.782047
20210720:03:56:12:256,0.08143159,0.1839992,9.76365
20210720:03:56:12:261,0.10475112,0.2100864,9.739402
20210720:03:56:12:265,0.06625235,0.19092321,9.760873
20210720:03:56:12:269,0.06352296,0.19566374,9.744651
20210720:03:56:12:272,0.10144711,0.20710802,9.733177
20210720:03:56:12:277,0.09085517,0.20332518,9.736711
20210720:03:56:12:280,0.065256365,0.19989668,9.74329
20210720:03:56:12:285,0.0977792,0.20389022,9.725927
20210720:03:56:12:288,0.08158482,0.18128896,9.730399
20210720:03:56:12:293,0.053745043,0.18416199,9.772393
20210720:03:56:12:296,0.094580546,0.19932209,9.724691
20210720:03:56:12:302,0.07821378,0.21359152,9.714914
20210720:03:56:12:305,0.0640018,0.19640115,9.757502
20210720:03:56:12:309,0.099598795,0.20077775,9.719032
20210720:03:56:12:312,0.09534669,0.19779935,9.71184
20210720:03:56:12:316,0.079114,0.19005173,9.758173
20210720:03:56:12:321,0.11547714,0.19627665,9.769022
20210720:03:56:12:324,0.0877044,0.18677646,9.788904
20210720:03:56:12:328,0.0775051,0.19707154,9.732794
20210720:03:56:12:333,0.09736739,0.20597796,9.745617
20210720:03:56:12:337,0.067468606,0.18333839,9.780496
