TIME,X,Y,Z
20210720:06:10:13:582,9.0757123E-4,-0.0010646508,6.283185E-4
20210720:06:10:13:584,9.948377E-4,7.15585E-4,-1.3962634E-4
20210720:06:10:13:588,-0.0010646508,6.981317E-5,1.3962634E-4
20210720:06:10:13:592,7.853982E-4,-8.726646E-5,-2.2689281E-4
20210720:06:10:13:596,1.7453292E-5,-4.886922E-4,1.3962634E-4
20210720:06:10:13:600,4.5378561E-4,-9.424778E-4,-1.0471976E-4
20210720:06:10:13:606,4.712389E-4,0.0,3.4906585E-5
20210720:06:10:13:608,3.4906585E-5,4.5378561E-4,1.7453292E-4
20210720:06:10:13:612,-0.0015358897,7.853982E-4,-6.6322513E-4
20210720:06:10:13:616,-0.0011868239,-5.9341197E-4,-2.443461E-4
20210720:06:10:13:620,0.0013264503,3.4906584E-4,-6.1086525E-4
20210720:06:10:13:625,0.0015184365,3.3161257E-4,-6.1086525E-4
20210720:06:10:13:629,-1.5707963E-4,-1.0471976E-4,6.457718E-4
20210720:06:10:13:634,-6.981317E-4,0.0,1.5707963E-4
20210720:06:10:13:636,-9.773844E-4,1.3962634E-4,1.9198621E-4
20210720:06:10:13:640,0.0,1.5707963E-4,2.0943952E-4
20210720:06:10:13:644,2.6179937E-4,6.1086525E-4,2.0943952E-4
20210720:06:10:13:649,3.1415926E-4,2.443461E-4,2.0943952E-4
20210720:06:10:13:652,3.1415926E-4,-2.443461E-4,2.0943952E-4
20210720:06:10:13:656,7.6794485E-4,-1.9198621E-4,2.0943952E-4
20210720:06:10:13:660,-4.712389E-4,-4.5378561E-4,2.0943952E-4
20210720:06:10:13:666,1.9198621E-4,5.061455E-4,3.3161257E-4
20210720:06:10:13:669,-4.363323E-4,5.410521E-4,-3.3161257E-4
20210720:06:10:13:672,6.981317E-5,3.6651915E-4,1.2217305E-4
20210720:06:10:13:676,7.330383E-4,1.9198621E-4,1.9198621E-4
20210720:06:10:13:680,3.8397242E-4,-2.443461E-4,-2.2689281E-4
20210720:06:10:13:685,-0.0012915436,1.0471976E-4,5.7595863E-4
20210720:06:10:13:688,-0.001134464,5.9341197E-4,2.6179937E-4
20210720:06:10:13:692,-1.5707963E-4,6.806784E-4,-8.726646E-5
20210720:06:10:13:696,-1.9198621E-4,2.6179937E-4,3.4906585E-5
20210720:06:10:13:701,-1.9198621E-4,-1.2217305E-4,1.7453292E-4
20210720:06:10:13:705,6.806784E-4,0.0,2.0943952E-4
20210720:06:10:13:708,3.8397242E-4,-1.5707963E-4,-2.2689281E-4
20210720:06:10:13:712,3.3161257E-4,-3.1415926E-4,-6.1086525E-4
20210720:06:10:13:717,1.7453292E-5,-3.4906584E-4,-3.4906585E-5
20210720:06:10:13:721,-5.9341197E-4,-3.4906585E-5,-1.3962634E-4
20210720:06:10:13:725,-3.8397242E-4,1.3962634E-4,1.7453292E-5
20210720:06:10:13:728,-5.410521E-4,6.1086525E-4,-1.2217305E-4
20210720:06:10:13:734,5.235988E-5,2.443461E-4,3.3161257E-4
20210720:06:10:13:737,-1.5707963E-4,-8.726646E-4,6.806784E-4
20210720:06:10:13:741,2.443461E-4,-2.443461E-4,4.1887903E-4
20210720:06:10:13:744,3.1415926E-4,1.0471976E-4,-1.9198621E-4
20210720:06:10:13:750,3.1415926E-4,4.712389E-4,1.3962634E-4
20210720:06:10:13:753,3.3161257E-4,3.4906584E-4,-1.0471976E-4
20210720:06:10:13:757,-6.1086525E-4,1.9198621E-4,-4.0142573E-4
20210720:06:10:13:760,-2.0943952E-4,5.235988E-5,1.0471976E-4
20210720:06:10:13:764,-9.5993106E-4,0.0010297443,1.9198621E-4
20210720:06:10:13:769,-8.901179E-4,0.0012042772,-2.2689281E-4
20210720:06:10:13:772,5.5850536E-4,7.853982E-4,1.3962634E-4
20210720:06:10:13:776,3.6651915E-4,0.0012915436,1.9198621E-4
20210720:06:10:13:780,-1.0471976E-4,3.4906585E-5,-8.726646E-5
20210720:06:10:13:785,-5.235988E-5,-2.7925268E-4,3.4906585E-5
20210720:06:10:13:789,-2.9670598E-4,-4.712389E-4,1.7453292E-4
20210720:06:10:13:793,2.0943952E-4,-2.443461E-4,2.0943952E-4
20210720:06:10:13:796,-4.363323E-4,-1.7453292E-5,2.0943952E-4
20210720:06:10:13:802,-2.2689281E-4,1.3962634E-4,-2.0943952E-4
20210720:06:10:13:804,-3.3161257E-4,-1.3962634E-4,-6.1086525E-4
20210720:06:10:13:808,-8.726646E-5,0.0,-0.0013788101
20210720:06:10:13:812,0.0,1.3962634E-4,-3.4906585E-5
20210720:06:10:13:817,2.0943952E-4,3.4906585E-5,-2.6179937E-4
20210720:06:10:13:821,-0.0015184365,-2.6179937E-4,4.363323E-4
20210720:06:10:13:825,-0.0017976891,-8.726646E-5,-5.235988E-5
20210720:06:10:13:828,-0.0012915436,-8.726646E-4,1.5707963E-4
20210720:06:10:13:833,-5.5850536E-4,-0.0012042772,-2.2689281E-4
20210720:06:10:13:836,-7.5049157E-4,0.0013962634,1.3962634E-4
20210720:06:10:13:841,-4.1887903E-4,-0.0020769418,-5.410521E-4
20210720:06:10:13:844,-6.806784E-4,-1.9198621E-4,-4.712389E-4
20210720:06:10:13:850,-8.726646E-5,0.0,-2.0943952E-4
20210720:06:10:13:853,2.443461E-4,-9.250245E-4,1.7453292E-5
20210720:06:10:13:857,-9.948377E-4,2.443461E-4,-2.443461E-4
20210720:06:10:13:860,-1.7453292E-5,-8.2030473E-4,1.2217305E-4
20210720:06:10:13:864,-4.712389E-4,-4.1887903E-4,-1.0471976E-4
20210720:06:10:13:870,-0.009616764,-0.0036477381,7.853982E-4
20210720:06:10:13:872,-0.0016406095,0.0014835298,0.0
20210720:06:10:13:876,0.0039095376,0.0010821042,-0.0013264503
20210720:06:10:13:880,0.0021293017,5.7595863E-4,-2.9670598E-4
20210720:06:10:13:884,0.0016406095,8.0285146E-4,1.2217305E-4
